#{"t_start": 1656202878.2178023, "env_id": "env.spec.id"}
r,l,t
-53,3,0.006002
-55,5,0.010003
34,16,0.017004
-59,9,0.021005
-75,25,0.030008
-60,10,0.035008
-64,14,0.04101
-52,2,0.04201
-60,10,0.047011
-88,38,0.065015
-58,8,0.068016
-52,2,0.070016
-58,8,0.073017
-75,25,0.083019
-67,17,0.090021
-75,25,0.100024
-53,3,0.102024
-83,33,0.115026
-57,7,0.118027
-59,9,0.122028
-80,30,0.134031
-72,22,0.142032
32,18,0.150034
-102,52,0.170039
-70,20,0.179041
-72,22,0.188043
-69,19,0.196044
12,38,0.211048
-60,10,0.216049
-55,5,0.21905
-75,25,0.229052
-59,9,0.233052
-53,3,0.235053
-58,8,0.239054
-59,9,0.243056
-54,4,0.245056
-56,6,0.248056
-52,2,0.249057
-64,14,0.255057
-68,18,0.262059
-52,2,0.26406
-54,4,0.26606
-114,64,0.290065
-81,31,0.303068
-66,16,0.31107
-52,2,0.31307
-74,24,0.322073
-59,9,0.326074
-56,6,0.329075
-62,12,0.334075
-53,3,0.336076
-65,15,0.343077
-82,32,0.356081
-62,12,0.361082
-77,27,0.372083
-118,68,0.39909
-95,45,0.416094
-58,8,0.420241
-77,27,0.430243
-64,14,0.436244
-72,22,0.445246
-74,24,0.455248
-63,13,0.46125
-98,48,0.479254
-63,13,0.485255
-73,23,0.494257
-81,31,0.50626
-60,10,0.511261
-70,20,0.519264
-61,11,0.524264
-56,6,0.527265
-75,25,0.537267
-68,18,0.544269
-87,37,0.559272
-56,6,0.562273
-67,17,0.568274
-69,19,0.576276
-60,10,0.581277
-67,17,0.587278
-62,12,0.592279
-63,13,0.598281
-59,9,0.602282
-65,15,0.608284
-68,18,0.615285
-54,4,0.617285
-73,23,0.627287
-57,7,0.630288
-69,19,0.63729
26,24,0.647292
-57,7,0.650292
-77,27,0.661294
-56,6,0.664295
-60,10,0.668296
-54,4,0.670297
-83,33,0.6833
-63,13,0.689301
-58,8,0.692302
-91,41,0.709492
-119,69,0.735497
-69,19,0.743499
-56,6,0.7465
-75,25,0.756502
-60,10,0.760503
-63,13,0.766504
-69,19,0.774506
-57,7,0.777507
-75,25,0.787509
-62,12,0.79251
-57,7,0.796511
-92,42,0.812515
-97,47,0.832519
-58,8,0.83652
-61,11,0.841521
