#{"t_start": 1655828907.304348, "env_id": "env.spec.id"}
r,l,t
-56,6,0.017004
-78,28,0.069141
-53,3,0.075142
-60,10,0.093146
-66,16,0.122152
-52,2,0.127154
-57,7,0.140156
-15,65,0.255182
-116,66,0.369329
-56,6,0.380331
-98,48,0.461349
-60,10,0.479353
-64,14,0.503359
-57,7,0.516361
-71,21,0.552369
-68,18,0.583377
-110,60,0.685399
-60,10,0.702403
-60,10,0.720407
-54,4,0.727409
-67,17,0.756415
-60,10,0.774419
-56,6,0.784421
-80,30,0.835433
-84,34,0.893446
-67,17,0.922452
-58,8,0.937455
-84,34,0.994468
-63,13,1.017473
-67,17,1.046479
-52,2,1.050481
-62,12,1.071485
-75,25,1.115495
-56,6,1.126497
-62,12,1.146502
-60,10,1.164506
-56,6,1.174508
-52,2,1.178509
-84,34,1.236522
-55,5,1.245524
-54,4,1.253277
-60,10,1.271281
-63,13,1.294287
-111,61,1.397309
-52,2,1.40131
-67,17,1.431317
-66,16,1.459323
-75,25,1.501333
-55,5,1.510335
-59,9,1.526338
-64,14,1.550344
-76,26,1.595354
-65,15,1.62136
-52,2,1.62536
-60,10,1.643364
-63,13,1.665369
-59,9,1.681373
-52,2,1.685374
-52,2,1.689375
-68,18,1.720381
-63,13,1.743387
-61,11,1.762391
-98,48,1.844409
-62,12,1.865414
-79,29,1.914425
-53,3,1.920426
-64,14,1.944432
-85,35,2.004445
-66,16,2.032451
-59,9,2.048455
-90,40,2.116985
-72,22,2.155994
-70,20,2.191001
-61,11,2.210006
-54,4,2.217008
-52,2,2.221009
-57,7,2.234011
-68,18,2.265018
-64,14,2.290024
-57,7,2.302027
-64,14,2.327032
-53,3,2.333034
-67,17,2.36204
-56,6,2.373043
-119,69,2.49107
-52,2,2.495071
40,10,2.512074
-58,8,2.526078
-66,16,2.554084
-57,7,2.566086
-58,8,2.58109
-52,2,2.58409
16,34,2.643104
-66,16,2.67011
-63,13,2.693115
-70,20,2.727122
-64,14,2.752128
-82,32,2.80614
-57,7,2.819143
-80,30,2.870154
-61,11,2.889158
-58,8,2.903162
-56,6,2.914164
-54,4,2.921166
-52,2,2.925167
-55,5,2.934169
-74,24,2.975178
-90,40,3.044193
-91,41,3.113209
-68,18,3.144215
-52,2,3.148216
-70,20,3.183225
-66,16,3.21023
-80,30,3.261242
-107,57,3.358263
-103,53,3.448283
-55,5,3.457285
-57,7,3.470288
-61,11,3.489292
-71,21,3.525301
32,18,3.556307
-117,67,4.392493
-148,98,4.56053
-61,11,4.579534
-61,11,4.599539
-73,23,4.639548
-64,14,4.664554
-94,44,4.73957
-79,29,4.789581
-92,42,4.862597
37,13,4.885603
-110,60,4.988626
-111,61,5.09365
-54,4,5.100651
-55,5,5.109653
-123,73,5.23468
-86,36,5.296695
-53,3,5.302696
-53,3,5.308697
-56,6,5.3197
-102,52,5.408719
-60,10,5.426723
-78,28,5.474734
-70,20,5.509742
-52,2,5.513744
-82,32,5.568755
-62,12,5.58976
-72,22,5.628768
-109,59,5.729791
-59,9,5.745795
-53,3,5.751796
-54,4,5.758797
-82,32,5.81381
17,33,5.870823
-83,33,5.927835
-56,6,5.938838
-76,26,5.983848
-70,20,6.018856
-94,44,6.094873
-78,28,6.142883
17,33,6.199896
-63,13,6.222901
-62,12,6.243906
30,20,6.278914
-67,17,6.30792
-150,100,6.479959
-77,27,6.526969
-62,12,6.547974
-75,25,6.590983
-77,27,6.637994
-114,64,6.748018
3,47,6.829037
-90,40,6.898052
-64,14,6.922057
-70,20,6.957065
-65,15,6.983071
-63,13,7.006076
-130,80,7.143106
-67,17,7.173116
19,31,7.226128
-61,11,7.246132
-68,18,7.277139
-63,13,7.300144
-60,10,7.318148
-56,6,7.328151
-82,32,7.384163
-71,21,7.420171
-54,4,7.428173
-59,9,7.444176
-69,19,7.477184
-76,26,7.522194
-77,27,7.568204
-73,23,7.608213
22,28,7.656224
-63,13,7.680228
-52,2,7.684231
-85,35,7.744244
-77,27,7.791254
-71,21,7.827262
-52,2,8.551424
-15,65,8.661448
-77,27,8.708458
-63,13,8.731463
14,36,8.792477
28,22,8.830485
-63,13,8.85249
-52,2,8.856491
-69,19,8.889498
-4,54,8.981519
-102,52,9.070539
-71,21,9.106547
-105,55,9.199568
12,38,9.264582
-56,6,9.275585
-57,7,9.287587
-65,15,9.313593
-57,7,9.326596
4,46,9.404613
-67,17,9.43362
-117,67,9.547645
-63,13,9.570651
8,42,9.641666
-56,6,9.652668
-93,43,9.726686
-68,18,9.757692
-91,41,9.827708
-4,54,9.919728
-109,59,10.020751
-89,39,10.086766
-52,2,10.090766
-75,25,10.133776
35,15,10.159782
-83,33,10.215794
-84,34,10.273808
-52,2,10.277808
-66,16,10.305815
-106,56,10.400836
-112,62,10.50686
-65,15,10.532865
-60,10,10.549869
-100,50,10.635888
-67,17,10.664895
24,26,10.709905
32,18,10.740911
-105,55,10.834933
-112,62,10.939956
-55,5,10.948958
-81,31,11.00197
-70,20,11.036978
30,20,11.070985
-108,58,11.170007
-56,6,11.18101
29,21,11.217018
-107,57,11.314162
-71,21,11.350171
-97,47,11.430188
31,19,11.462195
-100,100,11.632233
-92,42,11.703249
-70,20,11.738257
-61,11,11.757261
-60,10,11.775265
-72,22,11.813274
14,36,11.874287
-68,18,11.905294
-73,23,11.945303
-52,2,11.949304
-77,27,11.995314
-102,52,12.849755
21,29,12.901766
28,22,12.940775
-76,26,12.986785
-80,30,13.038797
34,16,13.067804
22,28,13.116814
26,24,13.159824
39,11,13.178828
22,28,13.228839
-55,5,13.237841
23,27,13.285852
-106,56,13.383874
-65,15,13.41088
22,28,13.459891
35,15,13.486897
-93,43,13.562914
-67,17,13.59292
24,26,13.638931
-54,4,13.645933
-60,10,13.663936
35,15,13.690942
-5,55,13.787964
12,38,13.854979
33,17,13.884985
15,35,13.947
31,19,13.980525
-83,33,14.038539
27,23,14.079547
11,39,14.147563
-63,13,14.170568
-78,28,14.220579
-75,25,14.264589
-86,36,14.327603
-73,23,14.368612
-65,15,14.395618
-12,62,14.503642
25,25,14.548652
26,24,14.590661
-76,26,14.636672
-64,14,14.661677
38,12,14.682682
19,31,14.737694
-66,16,14.7657
19,31,14.820713
-72,22,14.859722
-6,56,14.959744
24,26,15.005754
-58,8,15.020757
27,23,15.060766
13,37,15.125781
37,13,15.149786
-58,8,15.16379
18,32,15.219802
34,16,15.248809
-62,12,15.269813
-81,31,15.324825
29,21,15.362957
-61,11,15.38196
35,15,15.408967
38,12,15.430971
0,50,15.517991
-61,11,15.537995
-59,9,15.553999
24,26,15.600009
14,36,15.663023
-19,69,15.78405
15,35,15.846064
24,26,15.892074
33,17,15.923081
-65,15,15.949087
-82,32,16.0061
-58,8,16.020103
38,12,16.042108
30,20,16.077116
-93,43,16.153132
18,32,16.209264
39,11,16.229268
-56,6,16.24027
12,38,16.307285
37,13,16.33029
35,15,16.357296
-65,15,16.383301
-71,21,16.42131
-61,11,16.440314
22,28,17.246713
-64,14,17.271719
26,24,17.314728
24,26,17.360739
33,17,17.391745
-54,4,17.399748
30,20,17.434755
30,20,17.470763
30,20,17.506771
-54,4,17.513773
-52,2,17.517773
31,19,17.551781
-75,25,17.595791
-77,27,17.643802
31,19,17.676809
11,39,17.745824
-56,6,17.756827
29,21,17.793835
28,22,17.832844
34,16,17.86185
-53,3,17.867852
5,45,17.946869
33,17,17.977876
-64,14,18.002882
-65,15,18.028888
21,29,18.080899
13,37,18.145914
27,23,18.185922
-82,32,18.242935
21,29,18.293947
-60,10,18.31195
-59,9,18.327954
25,25,18.372965
33,17,18.402971
29,21,18.439979
-63,13,18.462984
23,27,18.510995
-72,22,18.550004
-93,43,18.626021
-56,6,18.637023
-54,4,18.644025
16,34,18.704038
34,16,18.733045
35,15,18.75905
34,16,18.788057
35,15,18.815063
36,14,18.840069
32,18,18.873076
-60,10,18.89208
32,18,18.924087
14,36,18.987101
-65,15,19.014107
16,34,19.074121
-58,8,19.088124
-53,3,19.094125
-58,8,19.109129
8,42,19.182145
30,20,19.218153
26,24,19.260162
-56,6,19.271165
36,14,19.29617
-70,20,19.332178
-54,4,19.33918
28,22,19.378189
28,22,19.417328
36,14,19.443334
19,31,19.498346
11,39,19.568361
29,21,19.60737
34,16,19.636376
25,25,19.681387
31,19,19.716395
36,14,19.742401
-80,30,19.799414
32,18,19.83242
5,45,19.914438
-69,19,19.948446
25,25,19.992456
17,33,20.051469
3,47,20.134488
23,27,20.182498
10,40,20.252514
27,23,20.293523
34,16,20.32153
32,18,20.354537
7,43,20.429553
-55,5,20.438555
-86,36,20.50257
17,33,20.561583
-3,53,20.654604
-79,29,20.705615
6,44,20.782753
30,20,20.818761
-65,15,20.844767
30,20,21.63906
34,16,21.668067
20,30,21.721078
-52,2,21.726079
38,12,21.747084
26,24,21.790094
28,22,21.830103
37,13,21.853108
-78,28,21.903119
36,14,21.929125
30,20,21.965133
33,17,21.99614
24,26,22.04215
-58,8,22.057154
36,14,22.082159
28,22,22.121169
36,14,22.146174
25,25,22.190307
35,15,22.217312
-1,51,22.306332
26,24,22.349342
24,26,22.395352
21,29,22.446364
24,26,22.492374
-52,2,22.496375
-77,27,22.544386
-53,3,22.550387
20,30,22.602399
-61,11,22.622403
38,12,22.643408
-52,2,22.647408
30,20,22.683417
37,13,22.706422
33,17,22.736428
40,10,22.754432
-61,11,22.774436
32,18,22.806444
17,33,22.864457
27,23,22.905466
33,17,22.935472
37,13,22.959479
-57,7,22.972481
-52,2,22.976482
31,19,23.010489
23,27,23.0575
-63,13,23.081506
-76,26,23.126515
24,26,23.172525
5,45,23.252543
38,12,23.273547
29,21,23.311556
37,13,23.335561
31,19,23.369569
15,35,23.431583
-55,5,23.440585
23,27,23.488595
39,11,23.508722
34,16,23.537728
20,30,23.59174
31,19,23.625747
32,18,23.657754
28,22,23.696763
37,13,23.720768
17,33,23.779782
16,34,23.839796
-60,10,23.857799
20,30,23.911812
34,16,23.940818
42,8,23.954821
36,14,23.980827
-73,23,24.021836
33,17,24.052842
35,15,24.079849
30,20,24.115857
32,18,24.147864
33,17,24.178871
6,44,24.256888
32,18,24.288895
35,15,24.315901
34,16,24.344908
40,10,24.362912
28,22,24.401921
29,21,24.439929
28,22,24.478938
22,28,24.528949
34,16,24.557955
26,24,24.600965
37,13,24.624971
33,17,24.654977
15,35,24.716991
32,18,24.749999
-61,11,24.770003
31,19,24.80401
22,28,24.854021
-53,3,24.859023
34,16,24.888151
29,21,24.92616
15,35,24.988173
22,28,25.038185
32,18,25.071192
-62,12,25.092197
29,21,25.130205
35,15,25.157211
40,10,25.175215
26,24,25.218225
31,19,25.252233
25,25,26.053734
40,10,26.071738
38,12,26.093743
15,35,26.154757
37,13,26.177763
28,22,26.21677
35,15,26.243777
35,15,26.269783
38,12,26.291788
33,17,26.321794
36,14,26.3468
35,15,26.372806
31,19,26.406813
33,17,26.43682
37,13,26.459825
34,16,26.488831
-72,22,26.52684
35,15,26.553846
36,14,26.578851
-58,8,26.592855
26,24,26.635864
22,28,26.684875
-55,5,26.693878
36,14,26.718883
-58,8,26.733886
29,21,26.770895
34,16,26.7989
35,15,26.825907
32,18,26.856913
35,15,26.883919
33,17,26.913926
26,24,26.955936
38,12,26.977941
32,18,27.009948
37,13,27.032953
40,10,27.050957
40,10,27.068961
30,20,27.104969
34,16,27.132975
29,21,27.169983
37,13,27.192996
24,26,27.239001
33,17,27.269008
32,18,27.301015
37,13,27.32402
37,13,27.347025
30,20,27.383034
35,15,27.409039
26,24,27.452049
37,13,27.475054
32,18,27.507061
36,14,27.531067
27,23,27.572075
-60,10,27.59008
37,13,27.613085
20,30,27.666096
-57,7,27.679099
37,13,27.702105
23,27,27.749115
30,20,27.784122
29,21,27.821131
37,13,27.845136
16,34,27.90415
37,13,27.927155
29,21,27.965163
34,16,27.99317
37,13,28.016175
34,16,28.045181
28,22,28.08419
32,18,28.115196
36,14,28.140202
36,14,28.165208
33,17,28.195215
-62,12,28.21722
31,19,28.250226
31,19,28.284235
36,14,28.30924
38,12,28.330245
36,14,28.35525
32,18,28.387257
38,12,28.408262
37,13,28.432267
36,14,28.456273
31,19,28.49028
36,14,28.515286
35,15,28.542292
31,19,28.575299
36,14,28.600305
35,15,28.627311
34,16,28.655317
28,22,28.694326
37,13,28.717331
31,19,28.751339
-66,16,28.779345
34,16,28.807351
39,11,28.827356
35,15,28.854362
34,16,28.882368
31,19,28.916375
27,23,28.956384
36,14,28.98139
37,13,29.004395
32,18,29.036402
40,10,29.054406
38,12,29.076411
31,19,29.110419
36,14,29.135424
35,15,29.16143
25,25,29.20544
36,14,29.230445
27,23,29.271455
-69,19,29.304462
29,21,29.34147
37,13,29.365475
25,25,29.409485
-56,6,29.420488
33,17,29.450495
30,20,29.485503
21,29,29.536514
34,16,29.56452
34,16,29.593527
35,15,29.619532
38,12,29.641537
23,27,30.447717
40,10,30.465721
38,12,30.486726
25,25,30.530736
38,12,30.55274
42,8,30.566743
38,12,30.587748
35,15,30.614754
37,13,30.637759
32,18,30.669766
33,17,30.699773
38,12,30.720778
40,10,30.738782
34,16,30.767788
35,15,30.793794
37,13,30.8178
32,18,30.848807
39,11,30.868811
26,24,30.911821
35,15,30.937826
38,12,30.959831
36,14,30.984837
38,12,31.005841
-66,16,31.033848
30,20,31.069856
41,9,31.085859
35,15,31.112865
36,14,31.137871
36,14,31.162876
32,18,31.193884
36,14,31.218889
40,10,31.236893
33,17,31.2679
32,18,31.299907
35,15,31.326913
31,19,31.360921
33,17,31.391928
35,15,31.418934
23,27,31.465944
36,14,31.49095
38,12,31.512954
39,11,31.532959
36,14,31.557965
38,12,31.578969
35,15,31.605975
36,14,31.630981
38,12,31.651986
32,18,31.683993
38,12,31.704998
38,12,31.727002
37,13,31.750007
29,21,31.787016
31,19,31.820023
37,13,31.844028
41,9,31.860032
30,20,31.89504
-61,11,31.915044
28,22,31.954053
37,13,31.977058
40,10,31.995062
37,13,32.018067
36,14,32.043073
38,12,32.065078
35,15,32.091084
38,12,32.113089
15,35,32.175102
38,12,32.196107
33,17,32.226247
34,16,32.255253
34,16,32.28326
26,24,32.325269
37,13,32.349274
34,16,32.377281
38,12,32.398285
32,18,32.430292
34,16,32.459299
36,14,32.483304
37,13,32.507309
35,15,32.533315
39,11,32.55332
38,12,32.574325
36,14,32.59933
33,17,32.630337
37,13,32.653342
38,12,32.674347
-61,11,32.694351
38,12,32.715356
32,18,32.747363
38,12,32.769368
36,14,32.793373
29,21,32.830382
31,19,32.864389
36,14,32.889395
21,29,32.940406
-59,9,32.95741
32,18,32.988417
-60,10,33.007421
40,10,33.024425
36,14,33.04943
36,14,33.074436
36,14,33.099441
34,16,33.128448
25,25,33.172458
-58,8,33.187461
40,10,33.206465
37,13,33.229569
34,16,33.261594
38,12,33.2826
31,19,33.316607
39,11,33.335611
-63,13,33.358616
39,11,33.378621
34,16,33.407627
39,11,33.426631
34,16,33.455638
39,11,33.474642
30,20,33.51065
33,17,33.540657
22,28,33.590668
35,15,33.617674
35,15,33.64368
-68,18,33.675687
37,13,33.698692
36,14,33.723698
37,13,33.746703
38,12,33.768708
36,14,33.793714
36,14,33.817719
28,22,33.856727
30,20,33.892736
34,16,33.920742
37,13,33.943747
34,16,33.972753
39,11,33.991757
31,19,34.025765
37,13,34.04877
30,20,34.845948
38,12,34.867953
