#{"t_start": 1654723833.4099255, "env_id": "env.spec.id"}
r,l,t
-57,7,0.011003
-90,40,0.04701
-62,12,0.058013
-53,3,0.062014
-80,30,0.08802
-58,8,0.096022
-67,17,0.112025
-54,4,0.116027
-62,12,0.127029
-84,34,0.156657
-54,4,0.161162
-68,18,0.177166
-53,3,0.180166
-58,8,0.188168
-69,19,0.205171
-56,6,0.211173
-76,26,0.234178
-58,8,0.242179
-134,84,0.313196
-68,18,0.3302
-71,21,0.348204
-53,3,0.352204
33,17,0.367208
-54,4,0.371209
-68,18,0.387212
-53,3,0.391213
-56,6,0.397215
-67,17,0.412218
-69,19,0.429222
-52,2,0.432223
-63,13,0.444226
-79,29,0.469231
-68,18,0.485234
-61,11,0.495237
-64,14,0.50824
-56,6,0.514241
-52,2,0.517241
-58,8,0.524243
-66,16,0.539247
-76,26,0.562252
-57,7,0.569253
-89,39,0.603261
-62,12,0.614264
-59,9,0.622265
-74,24,0.64327
-73,23,0.664275
-79,29,0.68928
-54,4,0.693281
-80,30,0.719287
-59,9,0.728289
-57,7,0.73529
-70,20,0.753295
-56,6,0.759296
-76,26,0.781301
-90,40,0.816309
-63,13,0.828312
-76,26,0.851317
-65,15,0.86432
-75,25,0.886325
-73,23,0.906329
-54,4,0.91133
-72,22,0.930335
-72,22,0.949339
-69,19,0.966343
-54,4,0.970344
-76,26,0.993349
-74,24,1.014353
-86,36,1.045361
-75,25,1.067365
-55,5,1.072366
-72,22,1.092371
-78,28,1.116376
-56,6,1.122378
-65,15,1.136381
-60,10,1.145383
-60,10,1.154385
-76,26,1.17739
-59,9,1.186392
-55,5,1.191394
-55,5,1.196395
-78,28,1.2214
-84,34,1.250407
-62,12,1.261409
-60,10,1.270411
-64,14,1.283414
-56,6,1.289415
-65,15,1.303419
-67,17,1.318422
-150,100,1.403441
-54,4,1.407442
-56,6,1.413443
-57,7,1.420445
-75,25,1.44245
-55,5,1.447451
-78,28,1.472457
-58,8,1.479459
-63,13,1.491461
-60,10,1.501463
-70,20,1.518602
-62,12,1.529604
-59,9,1.538607
-72,22,1.55761
-65,15,1.571614
-52,2,1.573614
-63,13,1.585617
-63,13,1.597619
-64,14,1.610623
-57,7,1.617624
-69,19,1.634628
-67,17,1.649631
-66,16,1.663634
-82,32,1.69164
-63,13,1.703643
-92,42,1.739652
-53,3,1.743652
-80,30,1.769658
-63,13,1.781661
-56,6,1.787662
-56,6,1.793664
-53,3,1.796664
-67,17,1.811667
-58,8,1.819669
-54,4,1.82367
-63,13,1.835673
-52,2,1.838674
-58,8,1.846675
-82,32,1.873682
-65,15,1.887685
-61,11,1.897687
-73,23,1.918692
-57,7,1.925694
-65,15,1.938696
-53,3,1.942697
-87,37,1.973704
-72,22,1.993708
-96,46,2.032717
-54,4,2.037719
-79,29,2.062724
-59,9,2.071726
-58,8,2.078728
-72,22,2.098733
-93,43,2.135741
-63,13,2.147744
-64,14,2.159746
-55,5,2.165747
-58,8,2.17275
-66,16,2.187752
-60,10,2.196754
-65,15,2.210758
-61,11,2.22076
-57,7,2.227761
-54,4,2.232762
-92,42,2.270771
-76,26,2.293776
-73,23,2.31478
-87,37,2.346788
-64,14,2.359791
-80,30,2.385797
-64,14,2.398801
-66,16,2.413803
20,30,2.439809
-65,15,2.452812
-77,27,2.476817
-52,2,2.479818
-59,9,2.48782
-57,7,2.494821
-67,17,2.509825
-87,37,2.541832
-62,12,2.552834
-68,18,2.568839
-52,2,2.571839
-53,3,2.574839
-59,9,2.583842
-73,23,2.603846
-54,4,2.607846
-71,21,2.626851
-52,2,2.629852
-92,42,2.66686
-58,8,2.674861
-70,20,2.693866
-98,48,2.734876
-54,4,2.739877
-86,36,2.771884
-64,14,2.784886
-76,26,2.807892
-72,22,2.827896
-56,6,2.833898
-142,92,2.912078
-54,4,2.916078
-62,12,2.927081
-61,11,2.938083
-53,3,2.941084
-53,3,2.945086
-56,6,2.951087
-58,8,2.958088
-59,9,2.96709
-72,22,2.987094
-53,3,2.990095
-83,33,3.019102
-72,22,3.038106
-65,15,3.052109
-74,24,3.073114
-92,42,3.109122
-84,34,3.139129
-56,6,3.14513
-80,30,3.171136
-83,33,3.200142
-56,6,3.206144
-70,20,3.224148
-65,15,3.238151
-61,11,3.248153
-58,8,3.256155
-70,20,3.274159
-59,9,3.282161
-54,4,3.286162
-80,30,3.313169
-52,2,3.316168
-94,44,3.356177
-54,4,3.360179
-52,2,3.363179
-76,26,3.386184
-71,21,3.404188
-73,23,3.425193
-57,7,3.432195
-100,50,3.475204
-65,15,3.488207
-57,7,3.495209
-68,18,3.511213
-59,9,3.520215
-111,61,3.572226
-83,33,3.600232
-96,46,3.639242
-72,22,3.659246
-58,8,3.667248
-84,34,3.696254
-75,25,3.718259
-57,7,3.725261
-53,3,3.728261
-52,2,3.731262
-64,14,3.744265
-63,13,3.756268
-70,20,3.775272
-54,4,3.780273
-53,3,3.783274
-63,13,3.795276
-58,8,3.803278
-55,5,3.808279
-85,35,3.839287
-99,49,3.881296
-66,16,3.895299
-56,6,3.901301
-74,24,3.922305
-66,16,3.937308
-71,21,3.955312
-56,6,3.961314
-55,5,3.967315
-53,3,3.970316
-73,23,3.991321
-69,19,4.007324
-53,3,4.011326
-63,13,4.023328
-60,10,4.03333
-63,13,4.044333
-73,23,4.065337
-76,26,4.088342
-61,11,4.098344
-87,37,4.130352
-63,13,4.141355
-64,14,4.154357
-55,5,4.159359
-93,43,4.196368
-62,12,4.207376
-61,11,4.218374
-70,20,4.236379
-54,4,4.240379
-82,32,4.268407
-53,3,4.272408
-64,14,4.28541
-94,44,4.323419
-59,9,4.331421
-74,24,4.352426
-65,15,4.366429
-57,7,4.37343
-89,39,4.406438
-93,43,4.443446
-52,2,4.446447
-58,8,4.453449
-62,12,4.464451
-68,18,4.481455
-62,12,4.492457
-66,16,4.507461
-67,17,4.522464
-73,23,4.543469
-52,2,4.54547
-55,5,4.550471
-59,9,4.559473
-62,12,4.570475
-65,15,4.584478
-63,13,4.595481
-56,6,4.601482
-54,4,4.606483
-91,41,4.641491
-55,5,4.646492
-67,17,4.662496
-115,65,4.718509
-63,13,4.730511
-70,20,4.748515
-52,2,4.751516
-65,15,4.765519
-72,22,4.784523
-55,5,4.789524
-53,3,4.793525
-54,4,4.797526
-64,14,4.810529
-87,37,4.842536
-54,4,4.846537
-69,19,4.863541
-54,4,4.868543
-70,20,4.885546
-54,4,4.890547
-57,7,4.897549
-69,19,4.913552
-53,3,4.917691
-96,46,4.9567
-61,11,4.967702
-91,41,5.00271
-121,71,5.064724
-68,18,5.080728
-52,2,5.083729
-69,19,5.100733
-77,27,5.124738
-69,19,5.141742
-110,60,5.192753
-64,14,5.205756
