#{"t_start": 1655768714.5123596, "env_id": "env.spec.id"}
r,l,t
-59,9,0.024004
-53,3,0.031006
-55,5,0.041009
-59,9,0.059013
-54,4,0.069015
-61,11,0.092021
-110,60,0.210047
-70,20,0.248055
-88,38,0.320073
-54,4,0.329076
-55,5,0.338077
-54,4,0.347079
-52,2,0.35108
-52,2,0.355081
-61,11,0.375086
-114,64,0.493115
-80,30,0.548128
-59,9,0.564131
-85,35,0.630146
-54,4,0.637147
-66,16,0.667154
-63,13,0.69316
-80,30,0.750172
-68,18,0.78418
-52,2,0.789181
-52,2,0.793182
-24,74,0.928212
-71,21,0.968221
-63,13,0.992227
-64,14,1.020233
-62,12,1.043239
-58,8,1.060242
-84,34,1.122256
-52,2,1.126256
-59,9,1.14326
-79,29,1.196273
-57,7,1.210275
-69,19,1.244283
-81,31,1.302296
-58,8,1.3183
-66,16,1.348426
-60,10,1.368431
-53,3,1.374432
-56,6,1.386434
-63,13,1.41144
-98,48,1.49946
-60,10,1.518464
-69,19,1.553472
-74,24,1.597482
-59,9,1.614486
-66,16,1.643492
-59,9,1.661497
-67,17,1.694504
-56,6,1.706506
-64,14,1.733512
-57,7,1.747515
-58,8,1.763519
-56,6,1.774522
-68,18,1.807529
-75,25,1.853539
-74,24,1.899549
-53,3,1.906551
-57,7,1.920554
-77,27,1.970565
-52,2,1.975566
-53,3,1.980567
-90,40,2.054584
-60,10,2.074589
-74,24,2.117598
-58,8,2.133602
-58,8,2.149605
-74,24,2.194615
-53,3,2.200617
-88,38,2.270632
-54,4,2.278634
-66,16,2.309642
-62,12,2.331646
-88,38,2.402662
-54,4,2.409664
-53,3,2.416665
-64,14,2.443672
-59,9,2.460675
-63,13,2.486681
-83,33,2.548695
-54,4,2.555696
-77,27,2.605834
-69,19,2.642842
-81,31,2.699855
-54,4,2.707856
-93,43,2.787875
-62,12,2.810879
-67,17,2.842887
-55,5,2.853889
-99,49,2.945911
-96,46,3.033934
-68,18,3.067942
-57,7,3.081945
-53,3,3.088947
-71,21,3.127955
-82,32,3.187968
-64,14,3.214974
-62,12,3.23898
-87,37,3.305995
-66,16,3.337002
-52,2,3.341002
-53,3,3.347004
-56,6,3.359007
-52,2,3.363008
-57,7,3.377011
-64,14,3.403017
-65,15,3.432023
-54,4,3.441025
-54,4,3.449027
-52,2,3.453028
-61,11,3.473032
-54,4,3.481034
-52,2,3.485035
-69,19,3.521044
27,23,3.564053
-104,54,3.666075
-129,79,3.813108
-53,3,3.818109
-62,12,3.841115
-59,9,3.859119
-83,33,4.677432
-69,19,4.71244
-75,25,4.759451
-87,37,4.826466
-52,2,4.831467
-88,38,4.899482
-68,18,4.93249
-141,91,5.096526
-69,19,5.129534
-65,15,5.15754
-64,14,5.183545
-59,9,5.200549
-95,45,5.28357
-97,47,5.367589
-55,5,5.378591
-79,29,5.430603
-53,3,5.436604
-98,48,5.522624
-72,22,5.563632
-74,24,5.607642
-68,18,5.64165
-68,18,5.676658
-120,70,5.802686
-68,18,5.835694
-115,65,5.95172
-2,52,6.04574
-57,7,6.05975
-66,16,6.088752
-96,46,6.170771
-74,24,6.214781
-83,33,6.273794
-96,46,6.356812
-56,6,6.368815
-54,4,6.376817
-84,34,6.43883
-64,14,6.463836
-100,100,6.644877
-79,29,6.696889
-66,16,6.725895
-60,10,6.743899
-79,29,6.796911
-52,2,6.800911
-64,14,6.826917
-65,15,6.853923
-70,20,6.890932
-83,33,6.949945
-57,7,6.962952
-83,33,7.021965
-12,62,7.13399
-58,8,7.149993
-105,55,7.248015
-67,17,7.279022
-63,13,7.302028
-141,91,7.467064
-70,20,7.504073
-71,21,7.543082
-59,9,7.560085
-85,35,7.6231
-80,30,7.679112
-80,30,7.732123
-72,22,7.773133
-76,26,7.821144
-67,17,7.853152
-58,8,7.868154
-73,23,7.910163
-70,20,7.947172
-58,8,7.963176
-111,61,8.076203
-54,4,8.084205
-100,100,8.263245
-66,16,8.293252
-80,30,8.348264
-64,14,8.37427
-100,100,9.304481
-69,19,9.338488
-62,12,9.361493
-86,36,9.425508
-100,100,9.603548
-91,41,9.680087
-100,100,9.860128
-146,96,10.032166
-53,3,10.038168
-141,91,10.202204
-60,10,10.221209
-54,4,10.22821
-65,15,10.255216
-120,70,10.384246
-100,100,10.56429
-62,12,10.586295
-68,18,10.619302
-121,71,10.747331
-54,4,10.755332
-55,5,10.766335
-100,100,10.946378
-134,84,11.099412
-79,29,11.153424
-79,29,11.206438
-66,16,11.235445
-76,26,11.282455
-52,2,11.287457
-117,67,11.409484
-76,26,11.457494
-71,21,11.496503
-100,100,11.677049
-122,72,11.806078
-42,92,11.97625
-126,76,12.112281
-56,6,12.124284
-92,42,12.201301
-126,76,12.338335
-111,61,12.446359
-73,23,12.487369
-71,21,12.527377
-102,52,12.621398
-48,98,12.796437
-112,62,13.664143
-124,74,13.801174
-100,100,13.981214
-122,72,14.110243
-100,100,14.290283
-100,100,14.470326
-104,54,14.569348
-100,100,14.751389
-60,10,14.770393
-28,78,14.909557
-68,18,14.943564
-133,83,15.093597
-54,4,15.101599
-70,20,15.138607
-104,54,15.235629
-72,22,15.276638
-128,78,15.416669
17,33,15.476684
-91,41,15.5527
-102,52,15.646721
10,40,15.717737
10,40,15.792754
-14,64,15.907782
-94,44,15.9868
-19,69,16.110827
-8,58,16.215853
-142,92,16.380903
-112,62,16.492928
-74,24,16.537939
-98,48,16.62496
-78,28,16.674971
-93,43,16.752988
-100,100,16.932031
-87,37,17.001182
-67,17,17.033189
-79,29,17.0862
-100,100,17.266241
-18,68,18.13658
-34,84,18.288615
25,25,18.332624
-91,41,18.409642
-66,16,18.439648
-25,75,18.573678
14,36,18.640693
-83,33,18.701707
-100,100,18.883749
-100,100,19.06579
-12,62,19.181818
-128,78,19.32585
-87,37,19.394866
-100,100,19.581426
-40,90,19.743463
-2,52,19.839484
-77,27,19.890496
-68,18,19.923503
-61,11,19.946511
-100,100,20.129551
-101,51,20.223572
-121,71,20.354602
-99,49,20.444622
-100,100,20.626662
-100,100,20.817705
-134,84,20.977741
-39,89,21.14978
-25,75,21.291811
1,49,21.386832
-30,80,21.539867
18,32,21.59888
-46,96,21.781921
10,40,22.620233
-52,2,22.625234
15,35,22.689248
-56,6,22.70025
-73,23,22.74226
-79,29,22.794272
23,27,22.844283
-22,72,22.977314
-52,2,22.980315
10,40,23.052331
-67,17,23.084338
28,22,23.126348
-18,68,23.250375
-143,93,23.417918
-17,67,23.539946
-52,2,23.543947
-13,63,23.660973
9,41,23.736989
33,17,23.767997
-60,10,23.788001
-52,2,23.793002
-28,78,23.935034
-101,51,24.028055
