#{"t_start": 1656789790.29382, "env_id": "env.spec.id"}
r,l,t
-60,10,0.012003
-57,7,0.016004
-69,19,0.028007
-56,6,0.033008
-80,30,0.052012
-66,16,0.062014
-54,4,0.065015
-100,50,0.097022
-70,20,0.109025
-96,46,0.137031
-53,3,0.140031
-63,13,0.148034
-69,19,0.161036
-78,28,0.180041
-92,42,0.207047
-55,5,0.210047
-60,10,0.217049
-60,10,0.224051
-62,12,0.232052
-54,4,0.235053
-86,36,0.258059
-56,6,0.262059
-74,24,0.277062
-106,56,0.31207
-79,29,0.331074
-66,16,0.341077
-70,20,0.354079
-70,20,0.367083
-57,7,0.372084
-61,11,0.379085
-74,24,0.394089
-64,14,0.403091
-54,4,0.406092
-85,35,0.430097
-59,9,0.436099
-54,4,0.439099
-65,15,0.449101
-58,8,0.455102
-58,8,0.460103
-77,27,0.477107
-58,8,0.483109
-64,14,0.49211
-56,6,0.496112
-81,31,0.516116
-62,12,0.525118
-52,2,0.527119
-64,14,0.536121
-56,6,0.540121
-66,16,0.551124
-61,11,0.560126
-66,16,0.570264
-99,49,0.600271
-69,19,0.612273
-85,35,0.634279
-93,43,0.660284
-53,3,0.663285
-64,14,0.672287
-62,12,0.681289
-59,9,0.687291
-64,14,0.696293
-84,34,0.718298
-52,2,0.720298
-56,6,0.724299
-54,4,0.727299
-65,15,0.740302
-57,7,0.745303
-54,4,0.748304
-91,41,0.77431
-57,7,0.779311
-59,9,0.785312
-61,11,0.792314
-59,9,0.799315
-61,11,0.806317
-55,5,0.810318
-62,12,0.817319
-54,4,0.821321
-53,3,0.824321
-62,12,0.832323
-75,25,0.848327
-56,6,0.852327
-84,34,0.874332
-74,24,0.889336
-110,60,0.927344
-54,4,0.930345
-54,4,0.934346
-74,24,0.948349
-62,12,0.956351
-84,34,0.978356
-53,3,0.980356
-68,18,0.991359
-64,14,1.00036
-58,8,1.006363
-61,11,1.013364
-53,3,1.016365
-108,58,1.052372
-71,21,1.065375
-52,2,1.067376
-69,19,1.079379
-52,2,1.081379
-97,47,1.110386
-90,40,1.136392
-76,26,1.152395
-68,18,1.163397
-59,9,1.169398
-72,22,1.183402
-58,8,1.188403
-58,8,1.194404
-80,30,1.213408
-53,3,1.21541
-56,6,1.22041
-58,8,1.225411
-54,4,1.228412
-57,7,1.233413
-55,5,1.237414
-61,11,1.244415
-53,3,1.247417
-73,23,1.261419
-66,16,1.272421
-102,52,1.304429
-78,28,1.322433
-84,34,1.343438
-90,40,1.368443
-75,25,1.383446
-61,11,1.391448
-77,27,1.407452
-76,26,1.423455
-69,19,1.435458
-66,16,1.445461
-74,24,1.461464
-61,11,1.469465
-59,9,1.475467
-57,7,1.480468
-53,3,1.483469
-90,40,1.507474
-86,36,1.529479
-67,17,1.540482
-76,26,1.556486
-72,22,1.571489
-77,27,1.588493
-55,5,1.591493
-66,16,1.602496
-75,25,1.617499
-75,25,1.633503
-56,6,1.637503
-119,69,1.681513
-83,33,1.702518
-60,10,1.709519
-70,20,1.722523
-52,2,1.724523
-57,7,1.729524
-81,31,1.748529
-61,11,1.75553
-70,20,1.769533
-63,13,1.778535
-62,12,1.786537
-80,30,1.807543
-107,57,1.84355
-77,27,1.860554
-62,12,1.868556
-107,57,1.904687
-60,10,1.911688
-69,19,1.923691
-63,13,1.934693
-58,8,1.939695
-75,25,1.955698
-71,21,1.969701
-77,27,1.986705
-64,14,1.995707
-55,5,1.999708
-60,10,2.00671
-58,8,2.011711
-89,39,2.035716
-57,7,2.040717
-92,42,2.066724
-63,13,2.075725
-63,13,2.083727
-60,10,2.090728
-73,23,2.104731
-67,17,2.116734
-82,32,2.137739
-54,4,2.14074
-60,10,2.146741
-61,11,2.155743
-52,2,2.157744
-108,58,2.191751
-62,12,2.199753
-67,17,2.210756
-70,20,2.223759
-53,3,2.22676
-57,7,2.231761
-66,16,2.241762
-64,14,2.251765
-74,24,2.266768
-60,10,2.27377
-75,25,2.288773
-61,11,2.296775
-54,4,2.299776
-61,11,2.306777
-60,10,2.313778
-61,11,2.32178
-53,3,2.324781
-54,4,2.326782
-72,22,2.340785
-98,48,2.370791
-57,7,2.375792
-72,22,2.388796
-96,46,2.416802
-53,3,2.419802
-87,37,2.444808
-72,22,2.458811
-78,28,2.476816
-65,15,2.485817
-73,23,2.500821
-73,23,2.515824
-55,5,2.518825
-63,13,2.527827
-58,8,2.533828
-58,8,2.538829
-61,11,2.54583
-100,50,2.576838
-57,7,2.581838
-74,24,2.596842
-64,14,2.605844
-60,10,2.612846
-52,2,2.614846
-84,34,2.635851
-62,12,2.643852
-64,14,2.652854
-56,6,2.657856
-82,32,2.67686
-81,31,2.696865
-70,20,2.708867
-52,2,2.710867
-53,3,2.715869
-87,37,2.738874
-53,3,2.744875
-73,23,2.760879
-59,9,2.76788
-65,15,2.777882
-61,11,2.784884
-64,14,2.795886
-95,45,2.822892
-107,57,2.858902
-70,20,2.871904
-88,38,2.89591
-64,14,2.907912
-78,28,2.925916
-78,28,2.94392
-66,16,2.953923
-120,70,2.998933
-69,19,3.012069
-53,3,3.014069
-64,14,3.023071
-91,41,3.049077
-54,4,3.052078
-62,12,3.060079
-52,2,3.06208
-54,4,3.06608
-66,16,3.077083
-64,14,3.087085
-58,8,3.093087
-67,17,3.104089
-89,39,3.129095
-88,38,3.1531
-75,25,3.169104
-52,2,3.171104
-57,7,3.176105
-57,7,3.181106
-62,12,3.191109
-69,19,3.204112
-65,15,3.214114
-62,12,3.222116
-57,7,3.226239
-94,44,3.254246
-67,17,3.265248
-58,8,4.198582
-73,23,4.212586
-55,5,4.216587
-58,8,4.221588
-67,17,4.23259
-96,46,4.261597
-82,32,4.281601
-73,23,4.295604
-69,19,4.307607
-61,11,4.314609
-71,21,4.328612
-65,15,4.337614
-92,42,4.363619
-79,29,4.381624
-55,5,4.385625
-87,37,4.40763
-55,5,4.411631
-57,7,4.416632
-52,2,4.418632
-71,21,4.432635
-52,2,4.434635
-52,2,4.435636
-62,12,4.444638
-59,9,4.450639
-70,20,4.462642
-93,43,4.489648
-60,10,4.495649
-82,32,4.516654
-61,11,4.526656
-53,3,4.529657
-83,33,4.549661
-66,16,4.560664
-74,24,4.574667
-72,22,4.58867
-71,21,4.601783
-84,34,4.623788
-86,36,4.645793
-94,44,4.672799
-74,24,4.687802
-79,29,4.705806
-54,4,4.709807
-71,21,4.72281
-61,11,4.731812
-77,27,4.748816
-79,29,4.766819
-58,8,4.772821
-57,7,4.776822
-54,4,4.779823
-60,10,4.786824
-52,2,4.788825
-81,31,4.80983
-82,32,4.830834
-70,20,4.843837
-63,13,4.851839
-63,13,4.859841
-52,2,4.864842
-62,12,4.874844
-57,7,4.881845
-57,7,4.886847
20,30,4.906852
-60,10,4.915853
-86,36,4.936858
-59,9,4.94386
-56,6,4.950861
-79,29,4.969866
-56,6,4.973866
-61,11,4.980868
-57,7,4.985869
-82,32,5.004873
-67,17,5.016876
-58,8,5.025878
-78,28,5.044883
-96,46,5.07689
-75,25,5.094894
-66,16,5.104896
-63,13,5.113898
-64,14,5.1229
