#{"t_start": 1655814460.571799, "env_id": "env.spec.id"}
r,l,t
-74,24,0.065015
-63,13,0.094021
-76,26,0.151034
-60,10,0.174039
-77,27,0.238053
-54,4,0.247055
-52,2,0.252056
-71,21,0.297066
-68,18,0.337075
-64,14,0.367082
-58,8,0.386086
-79,29,0.449204
-77,27,0.507217
-86,36,0.588235
-81,31,0.65625
-53,3,0.663251
-122,72,0.818286
-72,22,0.868298
-107,57,0.990324
-84,34,1.066342
-57,7,1.082345
-60,10,1.104351
-94,44,1.202372
-61,11,1.227377
-62,12,1.254384
-54,4,1.264385
-79,29,1.326918
-57,7,1.342921
-75,25,1.397933
-57,7,1.412936
-86,36,1.490954
-107,57,1.613982
-83,33,1.684998
-59,9,1.707003
-56,6,1.720006
-57,7,1.736009
-71,21,1.78202
-87,37,1.862037
-55,5,1.87304
-53,3,1.880041
-58,8,1.900046
-59,9,1.92005
-86,36,1.999067
-55,5,2.01107
-82,32,2.081086
-62,12,2.107092
-90,40,2.196112
-75,25,2.252124
-77,27,2.311137
-69,19,2.353147
-66,16,2.389155
-57,7,2.406159
-62,12,2.433165
-74,24,2.489177
-70,20,2.533187
-83,33,2.606204
-73,23,2.656214
-63,13,2.685221
-65,15,2.719351
-54,4,2.729353
-58,8,2.747357
-71,21,2.793367
-65,15,2.826375
-72,22,2.875386
-52,2,2.880387
-60,10,2.902391
-65,15,2.935399
-96,46,3.034421
-60,10,3.056426
-63,13,3.085433
-59,9,3.106437
-53,3,3.113438
-60,10,3.135444
-65,15,3.168451
-63,13,3.196457
29,21,3.243468
-101,51,3.356493
-58,8,3.374497
-59,9,3.394501
-55,5,3.405504
-88,38,3.488522
-80,30,3.553156
-69,19,3.593669
-66,16,3.628677
-52,2,3.633678
-55,5,3.645681
-52,2,3.649681
-80,30,3.715696
-62,12,3.741702
-66,16,3.77671
-63,13,3.804716
-60,10,3.826721
-78,28,3.886734
-57,7,3.901738
-120,70,4.051895
-138,88,4.241937
-57,7,4.257941
-77,27,4.317955
-77,27,4.375968
-55,5,4.38697
-67,17,4.424978
-61,11,4.448984
-71,21,4.494994
-72,22,5.317177
-57,7,5.332181
-93,43,5.426202
-73,23,5.475339
-117,67,5.620372
-66,16,5.65538
-53,3,5.662381
-53,3,5.669383
-63,13,5.697389
-64,14,5.727396
-67,17,5.764404
-131,81,5.941444
-53,3,5.948446
-72,22,5.996456
-68,18,6.035465
-95,45,6.130486
-77,27,6.188499
-120,70,6.338532
-77,27,6.396545
-65,15,6.430553
-71,21,6.476563
-90,40,6.562582
-85,35,6.636599
-100,100,6.850646
-55,5,6.862649
-54,4,6.872651
-80,30,6.936806
-93,43,7.030827
-95,45,7.127849
-56,6,7.141852
-64,14,7.171859
-2,52,7.282884
-59,9,7.302888
-76,26,7.358901
-76,26,7.414913
-88,38,7.497931
-53,3,7.504933
-84,34,7.57695
-94,44,7.67097
-67,17,7.707978
-64,14,7.738986
-65,15,7.771993
-109,59,7.902022
-67,17,7.93903
-54,4,7.948032
-64,14,7.981039
-75,25,8.036185
-131,81,8.209224
-53,3,8.216225
-66,16,8.251233
-53,3,8.259235
-84,34,8.332251
-106,56,8.452278
-72,22,8.500288
-67,17,8.537298
-72,22,8.585308
-77,27,8.643321
-52,2,8.649322
-122,72,8.803356
-57,7,8.81936
-69,19,8.860369
-66,16,8.896377
-113,63,9.031407
-68,18,9.070416
-82,32,9.140431
-56,6,9.154434
-75,25,9.207447
12,38,9.293466
-80,30,9.35748
-58,8,9.375484
-75,25,9.429496
-78,28,9.489641
-58,8,9.508645
-54,4,9.518647
-92,42,9.608667
-54,4,9.618669
-58,8,9.636673
-66,16,9.671681
-54,4,9.680683
-78,28,9.741696
-90,40,10.607025
-86,36,10.686043
-71,21,10.732053
-57,7,10.748057
-53,3,10.755058
-82,32,10.828074
-118,68,10.977233
-70,20,11.021243
-106,56,11.151272
-121,71,11.312308
-107,57,11.440337
-53,3,11.448339
-82,32,11.517354
-83,33,11.590369
-65,15,11.624377
18,32,11.703395
-78,28,11.774411
-55,5,11.787414
-74,24,11.845427
-88,38,11.932446
37,13,11.960453
-100,100,12.176501
-89,39,12.261651
25,25,12.320665
-71,21,12.368676
-79,29,12.43569
-54,4,12.444692
