#{"t_start": 1656701844.3100486, "env_id": "env.spec.id"}
r,l,t
-58,8,0.025005
-59,9,0.045011
-60,10,0.067015
-72,22,0.120027
-71,21,0.167038
37,13,0.195044
-55,5,0.207048
-65,15,0.240055
-80,30,0.305069
-60,10,0.327074
-62,12,0.35408
-56,6,0.367084
-57,7,0.383087
-78,28,0.444101
-79,29,0.506115
-52,2,0.511117
-64,14,0.544123
-59,9,0.564128
-64,14,0.594135
-56,6,0.608138
-67,17,0.645146
-64,14,0.676153
-52,2,0.681154
-74,24,0.734166
-60,10,0.756171
-52,2,0.761172
-64,14,0.79218
-63,13,0.81931
-73,23,0.871323
-87,37,0.952341
-80,30,1.016356
-83,33,1.089372
-56,6,1.103375
-62,12,1.130382
-59,9,1.150386
-53,3,1.158388
-84,34,1.231404
-57,7,1.246408
-58,8,1.264412
-52,2,1.271413
-88,38,1.355556
-62,12,1.382562
-68,18,1.421571
-73,23,1.472583
-112,62,1.608613
-53,3,1.615614
-76,26,1.671627
-55,5,1.68363
-60,10,1.706635
-66,16,1.741643
-55,5,1.755647
-139,89,1.944691
-62,12,1.970697
-65,15,2.004705
-108,58,2.129733
-70,20,2.172743
-60,10,2.193748
-84,34,2.267764
-65,15,2.299772
-64,14,2.331779
-64,14,2.363786
-60,10,2.385791
-59,9,2.405796
-107,57,2.528823
-53,3,2.535825
-52,2,2.540827
-77,27,2.598839
-59,9,2.618844
-73,23,2.667858
-56,6,2.682862
-56,6,2.695865
-62,12,2.72187
-63,13,2.750877
-72,22,2.799888
-56,6,2.812891
-66,16,2.847899
-58,8,2.867012
-64,14,2.899019
-122,72,3.055054
-54,4,3.065057
-60,10,3.087061
-69,19,3.129072
-75,25,3.184084
-52,2,3.189085
-57,7,3.204088
-71,21,3.250098
-52,2,3.2551
-52,2,3.262101
-76,26,3.318113
-52,2,3.323115
-57,7,3.338118
-64,14,3.369126
-52,2,3.376127
-66,16,3.411135
-55,5,3.423138
-85,35,3.499155
-109,59,3.626184
-58,8,3.644188
-69,19,3.685197
-52,2,3.690198
-79,29,3.753213
-53,3,3.760214
-88,38,3.842232
-54,4,3.851235
-96,46,3.951257
-65,15,3.983265
-53,3,3.990267
-82,32,4.060285
-99,49,4.165309
-56,6,4.178312
-72,22,4.226323
-58,8,4.244326
-62,12,4.270332
-57,7,4.286336
-70,20,4.330349
-98,48,4.434372
-112,62,5.355708
-79,29,5.419723
-65,15,5.45273
-68,18,5.492739
25,25,5.547752
-107,57,5.67278
-66,16,5.706788
-72,22,5.753798
-88,38,5.835817
-61,11,5.859822
-74,24,5.912834
-61,11,5.93684
-52,2,5.941841
-100,50,6.047865
-100,50,6.154889
-78,28,6.214903
-65,15,6.24791
-57,7,6.263914
-86,36,6.341932
25,25,6.396944
-59,9,6.416948
-144,94,6.619994
-76,26,6.677007
-54,4,6.686009
-72,22,6.73402
-65,15,6.767028
-100,50,6.875052
-80,30,6.939067
-56,6,6.95307
-64,14,6.984077
-52,2,6.989078
-54,4,6.99808
-111,61,7.129112
-69,19,7.170122
-65,15,7.203129
-111,61,7.335159
-113,63,7.47119
-55,5,7.484193
-99,49,7.589216
-58,8,7.60722
-82,32,7.675239
-65,15,7.708246
-56,6,7.72225
-62,12,7.750256
-55,5,7.761258
-62,12,7.788265
-55,5,7.799267
