#{"t_start": 1655811868.8753333, "env_id": "env.spec.id"}
r,l,t
-135,85,0.192043
-54,4,0.202045
-79,29,0.265059
-67,17,0.302068
-86,36,0.378084
-52,2,0.383085
-113,63,0.517115
-57,7,0.533119
-76,26,0.589131
-146,96,0.792177
-65,15,0.824184
-52,2,0.829185
-64,14,0.860192
-56,6,0.873195
-67,17,0.910203
-73,23,0.960214
-78,28,1.020228
-65,15,1.053235
-74,24,1.105372
-63,13,1.13738
-67,17,1.174388
-82,32,1.242404
-71,21,1.287413
-55,5,1.299416
-57,7,1.31442
-63,13,1.342426
-75,25,1.396549
-71,21,1.442559
-54,4,1.450561
-60,10,1.472566
-60,10,1.49457
-58,8,1.512575
-98,48,1.614597
-106,56,1.735624
-61,11,1.758629
-72,22,1.80564
-75,25,1.859652
-67,17,1.89566
-52,2,1.901661
-66,16,1.935669
-66,16,1.970677
-71,21,2.015687
-60,10,2.037691
-80,30,2.102706
-73,23,2.152717
-57,7,2.167721
-64,14,2.197727
-75,25,2.251739
-73,23,2.29975
-58,8,2.317754
-54,4,2.326756
-71,21,2.371766
-54,4,2.380768
-69,19,2.420777
-66,16,2.455785
-53,3,2.462787
-73,23,2.511797
-54,4,2.5208
-62,12,2.546805
-59,9,2.56681
-138,88,2.755971
-70,20,2.79898
-80,30,2.862995
-92,42,2.952014
-69,19,2.993024
-70,20,3.036033
-63,13,3.064039
-75,25,3.119052
-78,28,3.178065
-64,14,3.209072
-57,7,3.225075
-83,33,3.296091
-76,26,3.352104
-59,9,3.372108
-66,16,3.407116
-86,36,3.484133
-70,20,3.527143
-65,15,3.56015
-53,3,3.567153
-94,44,3.661173
-58,8,3.678177
-90,40,3.763196
-57,7,3.778199
-68,18,3.817208
-52,2,3.824209
-74,24,3.875221
-79,29,3.936234
-78,28,3.996248
-101,51,4.105272
-52,2,4.110273
-52,2,4.115274
-99,49,4.220297
-96,46,4.319322
-52,2,4.324323
-59,9,4.344328
-59,9,4.364332
-65,15,4.396339
-57,7,4.412343
-56,6,4.426346
-63,13,5.235527
-57,7,5.25153
-74,24,5.302542
-60,10,5.324547
-76,26,5.380559
-79,29,5.443573
-52,2,5.448574
-74,24,5.499585
-55,5,5.511588
-110,60,5.639616
-75,25,5.694629
-71,21,5.740639
-121,71,5.892673
-55,5,5.904676
-142,92,6.099719
-78,28,6.160733
-77,27,6.218746
-52,2,6.223747
-96,46,6.321769
-107,57,6.444796
-68,18,6.483805
-98,48,6.587828
24,26,6.64284
-113,63,6.779871
-64,14,6.810878
-102,52,6.923044
-2,52,7.035069
-80,30,7.100084
-60,10,7.122089
-54,4,7.131091
-63,13,7.159097
-67,17,7.195105
-52,2,7.200106
-53,3,7.207108
-54,4,7.21611
-65,15,7.249117
-62,12,7.274123
-81,31,7.343138
-74,24,7.39415
-70,20,7.437159
-68,18,7.477168
-137,87,7.66421
-105,55,7.782363
-94,44,7.879384
-118,68,8.023416
-78,28,8.08443
-63,13,8.112436
-59,9,8.132441
-58,8,8.149444
-68,18,8.189453
-62,12,8.215566
-62,12,8.241572
-67,17,8.27958
-69,19,8.32059
-58,8,8.338593
-109,59,8.466622
-61,11,8.490627
-60,10,8.511632
-81,31,8.578647
-66,16,8.612655
-87,37,8.691672
-55,5,8.703675
-63,13,8.731681
-65,15,8.764689
-101,51,8.874713
-36,86,9.059754
-60,10,9.080759
-68,18,9.119768
-60,10,9.141772
-52,2,9.147774
-70,20,9.189783
-130,80,9.359821
-67,17,9.396639
-70,20,9.439649
-54,4,9.449651
-58,8,9.466655
-95,45,9.564677
-89,39,10.43387
-134,84,10.612911
-54,4,10.621912
-104,54,10.736938
-110,60,10.865967
-88,38,10.947101
-91,41,11.03412
2,48,11.136143
-70,20,11.179153
-55,5,11.190155
-53,3,11.197157
3,47,11.297179
-105,55,11.413205
-92,42,11.502225
-59,9,11.522229
-70,20,11.564239
-130,80,11.733276
-102,52,11.846302
-71,21,11.891311
-91,41,11.978331
-62,12,12.003337
-86,36,12.079353
-77,27,12.137366
-141,91,12.329409
-129,79,12.497447
-146,96,12.699492
-64,14,12.728498
-122,72,12.881403
-95,45,12.976424
-68,18,13.015433
-65,15,13.04744
-52,2,13.052441
-98,48,13.154464
-72,22,13.201474
-73,23,13.250485
-71,21,13.295496
-87,37,13.373513
-113,63,13.508543
-98,48,13.610566
-100,100,13.822132
-79,29,13.884146
-70,20,13.926155
-56,6,13.939158
-57,7,13.955161
-69,19,13.996171
-123,73,14.151205
-111,61,14.280234
-69,19,14.321244
-93,43,14.414264
-92,42,14.503284
-100,50,14.608307
-63,13,14.637314
-131,81,15.589776
-75,25,15.643788
-58,8,15.660792
-44,94,15.858836
-114,64,15.993866
-120,70,16.142899
-135,85,16.322939
-75,25,16.376952
-94,44,16.471078
-100,100,16.683127
-100,100,16.894173
-85,35,16.968189
-58,8,16.985193
-100,100,17.19624
-100,100,17.408288
-70,20,17.450297
-58,8,17.468301
36,14,17.499308
-68,18,17.537316
-65,15,17.569323
-100,100,17.782371
-115,65,17.920522
-60,10,17.942527
-110,60,18.068555
24,26,18.125568
-90,40,18.211587
-100,100,18.425752
-65,15,18.458758
-62,12,18.485765
-71,21,18.530775
-57,7,18.545778
-93,43,18.637799
-71,21,18.682809
-52,2,18.68881
-89,39,18.771828
-94,44,18.864849
-78,28,18.924863
-68,18,18.962871
-67,17,18.998879
-83,33,19.069895
-100,100,19.283059
-59,9,19.302063
-139,89,19.491106
20,30,19.55512
-75,25,19.609132
-62,12,19.635138
-65,15,19.667145
8,42,19.755165
-55,5,19.766167
-123,73,19.921201
-100,100,20.912423
-59,9,20.932427
-63,13,20.960433
-55,5,20.971436
-71,21,21.016446
-96,46,21.115468
-100,100,21.328516
-37,87,21.513557
-97,47,21.612579
-141,91,21.805622
-100,100,22.018195
-84,34,22.091211
-104,54,22.205237
-100,100,22.415283
7,43,22.505304
-149,99,22.715351
-3,53,22.827376
-78,28,22.888527
-150,100,23.099574
-90,40,23.185593
-100,100,23.396757
-71,21,23.441767
-100,100,23.652814
-82,32,23.720829
-68,18,23.758837
-116,66,23.898869
-77,27,23.956882
-89,39,24.0389
-104,54,24.153926
-73,23,24.203937
-137,87,24.386978
-103,53,24.500003
-30,80,24.670041
-100,100,24.881088
-134,84,25.840302
-69,19,25.882311
12,38,25.96347
-93,43,26.05349
-94,44,26.146511
-41,91,26.338554
-75,25,26.391565
-115,65,26.529596
-100,100,26.740644
-100,100,26.953801
-133,83,27.12884
-61,11,27.152846
0,50,27.25887
-75,25,27.312996
-67,17,27.350005
-1,51,27.458029
-75,25,27.511041
-142,92,27.705084
-80,30,27.770098
-80,30,27.834113
-55,5,27.845115
14,36,27.922278
-95,45,28.017299
16,34,28.089316
-98,48,28.192339
-123,73,28.347374
-100,100,28.559421
-100,100,28.770577
-100,100,28.980624
-86,36,29.057641
-100,100,29.268688
-100,50,29.376712
-138,88,29.566754
-129,79,29.736792
-18,68,29.885825
-74,24,29.937837
-120,70,30.086871
-120,70,31.014077
-98,48,31.1171
-7,57,31.241128
-121,71,31.393308
-54,4,31.40331
2,48,31.507334
-25,75,31.673371
-95,45,31.771393
-111,61,31.903422
-90,40,31.989441
-100,100,32.202489
-61,11,32.227494
16,34,32.300511
-57,7,32.316514
-54,4,32.325516
-85,35,32.401533
30,20,32.444543
22,28,32.505556
-56,6,32.518559
-106,56,32.639586
-76,26,32.696599
-71,21,32.741609
-64,14,32.772616
-80,30,32.83563
-120,70,32.983788
32,18,33.022797
-16,66,33.164828
-72,22,33.212839
-30,80,33.385877
7,43,33.478898
6,44,33.573919
-86,36,33.651937
-101,51,33.760961
-25,75,33.921997
-3,53,34.035022
-79,29,34.099036
16,34,34.173177
-146,96,34.377222
-100,100,34.589402
-22,72,34.741436
-69,19,34.783445
-116,66,34.923476
-85,35,34.998493
-132,82,35.171531
-28,78,35.33657
-92,42,36.205764
2,48,36.307891
-100,100,36.518938
0,50,36.624962
-19,69,36.769994
-100,100,36.980564
32,18,37.019573
35,15,37.052581
16,34,37.124597
33,17,37.160604
-70,20,37.204615
-60,10,37.22662
-67,17,37.262627
-112,62,37.393657
-5,55,37.510683
-28,78,37.67472
-1,51,37.782744
-54,4,37.792746
-100,100,38.005904
-76,26,38.060916
-80,30,38.124931
-78,28,38.185944
-59,9,38.206072
-65,15,38.239079
-27,77,38.401115
3,47,38.502139
18,32,38.569153
-65,15,38.60216
-123,73,38.757195
-100,100,38.967242
3,47,39.066264
7,43,39.157284
-27,77,39.31932
-100,100,39.532368
0,50,39.639505
25,25,39.692517
-5,55,39.808543
18,32,39.875558
-37,87,40.058599
-85,35,40.132615
-100,100,40.343663
-45,95,41.321013
28,22,41.368023
28,22,41.415034
-57,7,41.431037
13,37,41.510055
34,16,41.544063
23,27,41.601075
-80,30,41.66409
28,22,41.7111
17,33,41.781116
-52,2,41.786117
-63,13,41.814123
24,26,41.869135
-58,8,41.887139
-7,57,42.006166
-58,8,42.02417
-131,81,42.196208
-135,85,42.375248
8,42,42.464268
38,12,42.490274
-100,100,42.70032
-114,64,42.836351
-65,15,42.869358
2,48,42.970514
-73,23,43.019525
-18,68,43.164557
19,31,43.230571
34,16,43.264579
25,25,43.317591
-68,18,43.355599
30,20,43.399609
-27,77,43.561645
-53,3,43.567647
-85,35,43.642663
14,36,43.719684
-96,46,43.817706
27,23,43.867717
-6,56,43.985743
-60,10,44.006748
-77,27,44.064761
34,16,44.098768
29,21,44.143779
-2,52,44.258804
27,23,44.307815
-10,60,44.434843
-75,25,44.487855
-16,66,44.628887
31,19,44.669896
5,45,44.764917
-55,5,44.775919
-100,100,44.986967
24,26,45.041982
-86,36,45.118999
30,20,45.162008
-60,10,45.183013
-8,58,45.306041
-63,13,45.334047
8,42,45.423067
28,22,45.470078
-111,61,45.599106
40,10,45.621111
