#{"t_start": 1655823279.4933028, "env_id": "env.spec.id"}
r,l,t
-61,11,0.033007
-59,9,0.058013
-55,5,0.074017
-55,5,0.09002
-66,16,0.137031
-56,6,0.154035
-61,11,0.184041
-59,9,0.209047
-67,17,0.255059
-70,20,0.308071
-57,7,0.328075
-57,7,0.347079
-64,14,0.385088
-60,10,0.410093
-62,12,0.442101
-52,2,0.449102
-77,27,0.517122
-52,2,0.526123
-58,8,0.547128
-55,5,0.561131
-54,4,0.571134
-82,32,0.655152
-59,9,0.678157
-56,6,0.696161
-58,8,0.717166
-60,10,0.742171
-64,14,0.77818
-69,19,0.828191
-61,11,0.856197
-115,65,1.028239
-56,6,1.044243
-57,7,1.062247
-100,50,1.195277
-56,6,1.21028
-69,19,1.260292
-83,33,1.346312
-59,9,1.369318
-65,15,1.41083
-57,7,1.429835
-75,25,1.493849
-60,10,1.51986
-55,5,1.533432
-68,18,1.581443
-68,18,1.630454
-71,21,1.682465
-84,34,1.767484
-69,19,1.817495
26,24,1.88151
-54,4,1.893512
-77,27,1.963528
-92,42,2.069695
-76,26,2.13571
-87,37,2.230731
-99,49,2.356759
-64,14,2.392767
-70,20,2.446779
-60,10,2.473785
-52,2,2.480787
-55,5,2.49479
-71,21,2.550681
-69,19,2.600693
-54,4,2.611695
-52,2,2.617697
-61,11,2.645703
-104,54,2.81174
-91,41,2.963773
-65,15,3.019786
-82,32,3.141055
-72,22,3.217327
-78,28,3.326525
-59,9,3.361533
-54,4,3.375535
-65,15,3.417061
-52,2,3.423063
-70,20,3.479097
-80,30,3.559229
-61,11,3.590236
-54,4,3.602238
-65,15,3.641247
-59,9,3.664252
-55,5,3.678255
-78,28,3.755272
-89,39,3.860266
-78,28,3.933282
-52,2,3.941284
-57,7,3.959288
-61,11,3.990295
-78,28,4.066312
-61,11,4.094318
-83,33,4.182482
-55,5,4.197485
-74,24,4.2625
-80,30,4.34541
-55,5,4.360413
-76,26,4.426428
-53,3,4.43543
-70,20,4.488442
-52,2,4.496443
-72,22,4.553611
-68,18,4.601621
-53,3,4.609623
-52,2,4.617625
-62,12,4.651633
-83,33,4.740653
-66,16,4.783779
-52,2,4.78978
-53,3,4.798783
-53,3,4.808784
-81,31,4.892235
-62,12,4.923241
-93,43,5.038974
-55,5,5.051976
-52,2,5.058978
-92,42,5.171003
-80,30,5.250021
-60,10,5.278026
-67,17,5.322043
-80,30,5.400747
-82,32,5.486766
-79,29,5.564784
-103,53,6.695235
-77,27,6.767251
-103,53,6.908283
-91,41,7.014307
-86,36,7.113328
-3,53,7.251885
-80,30,7.331903
-71,21,7.387915
-66,16,7.429924
-65,15,7.470756
-61,11,7.499894
-60,10,7.527733
-76,26,7.596749
-78,28,7.671766
-79,29,7.748783
-71,21,7.804795
-52,2,7.810797
-57,7,7.829801
-66,16,7.87281
-54,4,7.884653
-53,3,7.894655
-61,11,7.926662
-53,3,7.933664
-62,12,7.965671
-56,6,7.983674
-75,25,8.05169
-84,34,8.144711
-69,19,8.195722
-90,40,8.302785
-133,83,8.520834
-72,22,8.576847
-60,10,8.605853
-69,19,8.659148
-69,19,8.708159
-70,20,8.762171
-108,58,8.916343
-55,5,8.930346
-56,6,8.94635
-83,33,9.032144
-69,19,9.08219
-81,31,9.163208
-72,22,9.223222
-109,59,9.379642
-75,25,9.443657
-129,79,9.655143
-9,59,9.812737
-68,18,9.860746
-56,6,9.876751
-60,10,9.903757
-60,10,9.931763
-53,3,9.940765
-64,14,9.979774
-52,2,9.984775
-56,6,10.001779
-82,32,10.085797
-61,11,10.116804
-54,4,10.130807
-73,23,10.192821
-103,53,10.333853
-81,31,10.417871
-56,6,10.434564
-65,15,10.477573
-52,2,10.484575
-98,48,10.611603
-113,63,10.782641
-92,42,10.893548
-58,8,10.914553
-133,83,11.13842
1,49,11.267253
-91,41,11.376278
-74,24,11.441292
-111,61,11.603127
-71,21,11.659966
-78,28,11.733982
-90,40,11.841006
-83,33,11.929053
-60,10,11.956703
-55,5,11.968776
-58,8,11.991781
-64,14,12.02879
-61,11,12.058796
-114,64,13.206094
-78,28,13.281111
-56,6,13.298115
-54,4,13.312118
-100,100,13.576176
-69,19,13.624187
-89,39,13.727992
-63,13,13.762
-52,2,13.767001
-69,19,13.815012
-59,9,13.840017
19,31,13.922036
-62,12,13.953043
-83,33,14.037586
-100,50,14.168615
-91,41,14.276639
-59,9,14.301648
-65,15,14.340657
-55,5,14.35566
-108,58,14.510346
