#{"t_start": 1655817792.370728, "env_id": "env.spec.id"}
r,l,t
-64,14,0.04401
-75,25,0.113025
-52,2,0.120027
-71,21,0.175554
-70,20,0.230565
-64,14,0.269573
-56,6,0.285577
-91,41,0.393601
-57,7,0.412606
-56,6,0.429609
-70,20,0.481622
27,23,0.542635
-75,25,0.610651
-77,27,0.678667
-72,22,0.737681
-60,10,0.764686
-85,35,0.854706
-65,15,0.893715
-60,10,0.919724
-66,16,0.962733
-75,25,1.027747
-63,13,1.062151
-73,23,1.121165
-61,11,1.150171
-68,18,1.197182
-54,4,1.211185
-52,2,1.216186
-75,25,1.28232
-66,16,1.326331
-83,33,1.41135
-62,12,1.443357
-69,19,1.495368
-52,2,1.50137
-53,3,1.512372
-54,4,1.522374
-58,8,1.544379
-55,5,1.557383
-72,22,1.612394
-70,20,1.664933
-123,73,1.858983
-78,28,1.935
-92,42,2.047027
-57,7,2.065031
-53,3,2.075033
-58,8,2.096038
-61,11,2.125044
-80,30,2.202061
-55,5,2.216064
-54,4,2.227067
-56,6,2.24407
-52,2,2.250072
-74,24,2.314086
-96,46,2.432117
-69,19,2.481128
-72,22,2.543142
-61,11,2.572148
-65,15,2.609157
-59,9,2.633162
-54,4,2.643164
-62,12,2.676285
-58,8,2.69729
-57,7,2.716294
-71,21,2.771306
-58,8,2.794314
-57,7,2.813317
-73,23,2.876335
-62,12,2.909343
-59,9,2.936348
-63,13,2.970356
-126,76,3.171401
-52,2,3.178402
-71,21,3.232417
-67,17,3.28043
-52,2,3.285431
-61,11,3.314437
-54,4,3.32644
-53,3,3.333442
-62,12,3.363448
-58,8,3.387454
-55,5,3.400456
-90,40,3.50648
-4,54,3.645511
-59,9,3.671517
-64,14,3.709525
-61,11,3.741533
-54,4,3.752535
-74,24,3.81555
-55,5,3.828552
-56,6,3.845556
-71,21,3.902568
-58,8,3.925574
-57,7,3.94458
-56,6,3.962584
-53,3,3.969586
-53,3,3.978588
-67,17,4.0246
-84,34,4.113619
-54,4,4.124622
-76,26,4.192637
-88,38,4.292659
-70,20,4.343671
-68,18,4.393684
-53,3,4.400686
-85,35,4.494707
-52,2,4.504709
-67,17,4.549719
-67,17,4.592728
-68,18,4.641739
-76,26,4.710756
-70,20,4.765771
-61,11,4.794777
-73,23,4.857791
-64,14,4.894799
-52,2,4.902801
-52,2,4.908803
-107,57,5.058837
-58,8,5.078844
-61,11,5.109851
-67,17,5.153861
-54,4,5.163863
-58,8,5.186868
-52,2,5.19287
-71,21,5.245882
-89,39,5.349905
-58,8,5.369035
-58,8,5.39304
-137,87,6.600585
-59,9,6.626591
-97,47,6.749136
-92,42,6.857161
-104,54,6.996193
-56,6,7.012196
-61,11,7.042203
-66,16,7.085213
-75,25,7.149228
-85,35,7.241754
-68,18,7.290766
-135,85,7.512816
-73,23,7.570829
-92,42,7.681856
-57,7,7.69986
-78,28,7.775877
-54,4,7.786879
-64,14,7.823887
-63,13,7.858895
-94,44,7.978027
-75,25,8.043043
-76,26,8.113059
-63,13,8.148067
-63,13,8.182075
