#{"t_start": 1655801402.5694675, "env_id": "env.spec.id"}
r,l,t
-69,19,0.057013
-62,12,0.089019
-75,25,0.155034
-109,59,0.309069
-67,17,0.356079
-67,17,0.397088
-59,9,0.418093
-59,9,0.445099
-122,72,0.624139
-122,72,0.804179
-66,16,0.843188
-15,65,1.004224
-73,23,1.064237
-54,4,1.074239
-62,12,1.106246
-106,56,1.248278
-70,20,1.297289
-67,17,1.343299
-54,4,1.354301
-60,10,1.379307
-67,17,1.423317
-62,12,1.453324
-57,7,1.470328
38,12,1.506335
-57,7,1.521339
-55,5,1.538343
-85,35,1.624362
-78,28,1.692377
-58,8,1.715382
-66,16,1.753391
-59,9,1.776396
-59,9,1.801401
-69,19,1.847412
-57,7,1.867416
-55,5,1.878418
-53,3,1.88542
20,30,1.960437
-68,18,2.006447
-57,7,2.026452
-59,9,2.051457
-59,9,2.072462
-57,7,2.093467
-67,17,2.134476
-53,3,2.142478
-52,2,2.147479
-57,7,2.167483
-69,19,2.213493
-64,14,2.249501
-55,5,2.263504
-60,10,2.28751
-78,28,2.359526
-55,5,2.373529
-65,15,2.409537
-67,17,2.452547
-56,6,2.46555
-54,4,2.475552
-84,34,2.567572
-68,18,2.611582
-83,33,2.6926
-60,10,2.720607
-97,47,2.835632
-94,44,2.946657
-106,56,3.086688
-65,15,3.124697
-84,34,3.208831
-58,8,3.230836
-52,2,3.235837
-52,2,3.240838
-57,7,3.260842
-82,32,3.33886
-81,31,3.415877
-68,18,3.459887
-66,16,3.504897
-87,37,3.596917
-91,41,3.699941
-65,15,3.73695
-86,36,3.823973
-80,30,3.89899
-64,14,3.934998
-55,5,3.949001
-118,68,4.117038
-59,9,4.142044
-55,5,4.154047
-57,7,4.173052
-61,11,4.197057
-69,19,4.248067
-60,10,4.270073
-62,12,4.30108
-131,81,4.507144
-55,5,4.518147
-57,7,4.538151
-53,3,4.545152
-58,8,4.564157
28,22,4.619169
-64,14,4.655305
-71,21,4.706316
-59,9,4.730321
-54,4,4.740324
-52,2,4.744324
-4,54,4.879355
-53,3,4.887357
-67,17,4.927365
-60,10,4.954379
-119,69,5.127422
-70,20,5.176433
-65,15,6.162066
-57,7,6.178071
-91,41,6.282094
-65,15,6.320103
-52,2,6.325104
-62,12,6.356111
-101,51,6.484148
27,23,6.540301
-100,50,6.664329
-84,34,6.749347
-106,56,6.890379
-104,54,7.020408
-108,58,7.16444
-64,14,7.199977
-121,71,7.379846
-80,30,7.455863
-78,28,7.528879
-54,4,7.539882
-83,33,7.623425
-53,3,7.631428
-73,23,7.690448
-67,17,7.735451
-66,16,7.774459
-98,48,7.894486
-70,20,7.946498
9,41,8.048038
-56,6,8.066719
-85,35,8.15374
-81,31,8.230762
-81,31,8.307778
-54,4,8.320782
-64,14,8.356789
-62,12,8.386796
-52,2,8.394802
-72,22,8.447814
-85,35,8.538837
-52,2,8.542838
-64,14,8.579846
-59,9,8.59985
-73,23,8.658864
-68,18,8.703873
-54,4,8.715876
-87,37,8.808023
-76,26,8.874037
-70,20,8.923048
-69,19,8.973059
-55,5,8.987062
17,33,9.071082
-52,2,9.076082
-52,2,9.085084
-58,8,9.103088
-72,22,9.158101
-88,38,9.250999
24,26,9.318299
-127,77,9.511873
-63,13,9.54488
-56,6,9.562885
-72,22,9.616896
-77,27,9.683911
-73,23,9.739923
-67,17,9.786469
-115,65,9.945306
-60,10,9.970311
8,42,10.076354
36,14,10.109364
-84,34,10.197383
-80,30,10.272411
-59,9,10.293405
-79,29,10.367422
-64,14,10.402429
30,20,10.45544
-52,2,10.460441
-64,14,10.496449
-60,10,10.524275
-52,2,10.530277
-78,28,10.601469
31,19,10.648441
-91,41,10.752811
-58,8,10.770451
-80,30,10.845432
-88,38,10.944466
-104,54,11.081439
-68,18,11.127439
-120,70,11.300436
-54,4,12.25448
-56,6,12.269483
-112,62,12.42455
-71,21,12.478582
-55,5,12.490589
-61,11,12.519608
-65,15,12.558632
-60,10,12.58565
-8,58,12.731716
-65,15,12.767728
-89,39,12.861749
-70,20,12.915761
-104,54,13.047799
7,43,13.155823
21,29,13.227851
-59,9,13.252857
17,33,13.33489
-58,8,13.356895
1,49,13.476921
-96,46,13.590947
4,46,13.70298
-82,32,13.783998
-105,55,13.922029
-66,16,13.962038
-90,40,14.06106
-44,94,14.291119
-56,6,14.309122
-57,7,14.326126
-84,34,14.409145
-92,42,14.514186
-54,4,14.526189
-65,15,14.564197
-75,25,14.622736
-97,47,14.738762
-67,17,14.782772
-69,19,14.830783
-79,29,14.902799
37,13,14.933806
-56,6,14.949809
-64,14,14.985817
-87,37,15.076836
-124,74,15.26388
-52,2,15.26888
36,14,15.303889
-59,9,15.323893
-52,2,15.328894
-96,46,15.44692
25,25,15.512935
30,20,15.564456
-57,7,15.580476
-68,18,15.62449
-87,37,15.719511
-82,32,15.799109
-68,18,15.843119
-71,21,15.900132
-53,3,15.907134
-60,10,15.936143
-56,6,15.949147
-58,8,15.969672
-91,41,16.077714
-66,16,16.115723
-68,18,16.160733
-75,25,16.223866
-92,42,16.324889
-67,17,16.369899
-55,5,16.382902
-57,7,16.399906
-81,31,16.480435
-106,56,16.619975
-58,8,16.641979
-77,27,16.709995
-83,33,16.790012
-112,62,16.945047
-60,10,16.971053
-88,38,17.067075
-114,64,17.226167
-57,7,17.242179
-65,15,17.280213
-67,17,17.326228
-89,39,18.37709
-9,59,18.524122
-30,80,18.72739
-82,32,18.806056
27,23,18.865757
-66,16,18.905766
-8,58,19.050933
-90,40,19.154956
-63,13,19.185965
-87,37,19.279376
-101,51,19.405405
27,23,19.464417
-70,20,19.51845
-79,29,19.592467
-80,30,19.669483
-94,44,19.783157
-56,6,19.797343
30,20,19.84635
10,40,19.948299
-103,53,20.081352
-77,27,20.14532
-74,24,20.210321
-56,6,20.224324
24,26,20.290325
-59,9,20.315328
-61,11,20.342346
-63,13,20.373339
-65,15,20.410317
25,25,20.473279
-66,16,20.51533
-110,60,20.662321
29,21,20.718287
8,42,20.823334
-87,37,20.916323
12,38,21.011335
-58,8,21.032217
-86,36,21.122308
-84,34,21.208313
-27,77,21.402302
-67,17,21.444303
-103,53,21.580322
24,26,21.647318
-77,27,21.7113
-57,7,21.731273
-80,30,21.807301
-54,4,21.816305
-29,79,22.015455
0,50,22.140507
17,33,22.22403
33,17,22.266039
-83,33,22.351058
18,32,22.432076
-54,4,22.441078
-80,30,22.519096
34,16,22.560105
-53,3,22.571319
-54,4,22.581318
-90,40,22.684342
-75,25,22.747356
-122,72,22.924396
-69,19,22.976408
1,49,23.098709
16,34,23.189729
-82,32,23.267878
-115,65,23.428919
-55,5,23.442922
-5,55,24.540409
-99,49,24.661436
10,40,24.759458
15,35,24.848986
11,39,24.946007
-4,54,25.078045
-100,100,25.3281
27,23,25.383113
25,25,25.447128
-10,60,25.59922
-75,25,25.663235
31,19,25.709245
-18,68,25.878283
-11,61,26.031317
11,39,26.129339
19,31,26.207356
-55,5,26.219359
-57,7,26.237363
-53,3,26.247365
-58,8,26.264369
-54,4,26.278372
1,49,26.400399
-137,87,26.619452
17,33,26.70247
13,37,26.797495
-68,18,26.842505
-58,8,26.86551
-78,28,26.932525
-68,18,26.978536
32,18,27.021546
26,24,27.084559
12,38,27.174583
20,30,27.2486
14,36,27.33862
-4,54,27.470653
-63,13,27.504661
14,36,27.594681
25,25,27.655694
27,23,27.714715
14,36,27.803735
12,38,27.899757
24,26,27.962771
-94,44,28.074796
24,26,28.13881
-15,65,28.29799
-69,19,28.343565
-73,23,28.400602
24,26,28.464638
-63,13,28.499667
14,36,28.592721
28,22,28.646752
-70,20,28.700789
21,29,28.772831
32,18,28.816857
8,42,28.922679
-71,21,28.97369
-121,71,29.15073
-135,85,29.362374
-52,2,29.367375
-96,46,29.482558
-65,15,29.519592
19,31,30.549295
-61,11,30.578302
11,39,30.679336
30,20,30.727351
17,33,30.809401
30,20,30.86144
35,15,30.899461
-59,9,30.91947
30,20,30.971485
20,30,31.045501
-5,55,31.18254
36,14,31.217547
23,27,31.282566
-61,11,31.311572
25,25,31.375587
23,27,31.441601
39,11,31.467607
-57,7,31.490613
41,9,31.515618
36,14,31.546625
27,23,31.602637
24,26,31.668659
-79,29,31.739675
-81,31,31.815692
32,18,31.859702
24,26,31.926724
39,11,31.953727
14,36,32.042751
-77,27,32.109766
33,17,32.150775
28,22,32.204786
-55,5,32.22179
-59,9,32.241795
-52,2,32.251797
9,41,32.349826
29,21,32.403838
31,19,32.45285
28,22,32.510863
25,25,32.569875
32,18,32.61589
31,19,32.662901
0,50,32.785931
-11,61,32.936965
-71,21,32.993982
14,36,33.079001
32,18,33.128011
32,18,33.173548
12,38,33.265604
28,22,33.322789
35,15,33.359805
-70,20,33.410854
23,27,33.482891
-59,9,33.508906
26,24,33.563942
28,22,33.622977
-52,2,33.627978
33,17,33.669509
35,15,33.707518
30,20,33.758529
-8,58,33.896579
32,18,33.945594
31,19,33.994605
34,16,34.032613
32,18,34.075623
27,23,34.135643
30,20,34.183654
36,14,34.219662
18,32,34.29868
-60,10,34.32569
31,19,34.3727
31,19,34.425716
-82,32,34.50675
32,18,34.55176
-57,7,34.573766
-79,29,34.645786
-91,41,34.746809
-108,58,34.88984
-64,14,34.922848
26,24,34.984862
15,35,35.072886
-61,11,35.100892
30,20,35.147903
-93,43,35.254926
37,13,35.286933
21,29,35.35995
27,23,35.417995
-3,53,35.552073
22,28,35.623093
-53,3,35.634095
33,17,35.677104
-64,14,36.668052
-65,15,36.707061
30,20,36.755072
16,34,36.842091
14,36,36.931111
30,20,36.978121
26,24,37.041136
33,17,37.083145
30,20,37.136157
33,17,37.180166
20,30,37.254702
23,27,37.323718
36,14,37.357725
26,24,37.414738
32,18,37.460748
6,44,37.571773
20,30,37.644789
40,10,37.671795
38,12,37.703802
39,11,37.730819
-76,26,37.795833
31,19,37.844844
-59,9,37.868849
-65,15,37.906858
-4,54,38.038887
36,14,38.074895
7,43,38.182919
30,20,38.233931
24,26,38.295944
34,16,38.336458
36,14,38.370466
-54,4,38.383468
-54,4,38.393471
7,43,38.502495
-65,15,38.541504
19,31,38.618521
-65,15,38.655529
33,17,38.697538
-8,58,38.843571
-64,14,38.879579
26,24,38.940593
36,14,38.9736
31,19,39.022611
-58,8,39.039615
32,18,39.087626
25,25,39.145639
-60,10,39.172644
-66,16,39.213654
34,16,39.254663
13,37,39.348684
34,16,39.388693
19,31,39.46471
38,12,39.498717
-54,4,39.507719
28,22,39.565732
-84,34,39.649751
-83,33,39.73377
-56,6,39.750775
29,21,39.803787
31,19,39.848797
26,24,39.90981
17,33,39.990829
30,20,40.04284
38,12,40.072846
-53,3,40.080849
-58,8,40.099853
29,21,40.154869
26,24,40.211885
-55,5,40.22789
36,14,40.263408
31,19,40.309419
36,14,40.346427
38,12,40.377434
-62,12,40.407441
25,25,40.468455
24,26,40.536477
-60,10,40.562487
31,19,40.608497
39,11,40.638507
-64,14,40.673515
35,15,40.712528
29,21,40.762539
35,15,40.800552
-56,6,40.819556
31,19,40.866566
37,13,40.899573
32,18,40.943583
40,10,40.97059
26,24,41.025602
31,19,41.073612
26,24,41.132626
-57,7,41.15263
24,26,41.216645
-61,11,41.24365
37,13,41.276658
22,28,41.346674
42,8,41.365678
34,16,41.408691
30,20,41.456702
24,26,41.523716
-62,12,41.554724
33,17,41.596733
-62,12,41.62674
-81,31,41.704757
11,39,42.764867
40,10,42.789873
29,21,42.841888
27,23,42.898905
-55,5,42.912908
-76,26,42.978942
34,16,43.020008
25,25,43.078998
-63,13,43.111022
