#{"t_start": 1654707181.6673586, "env_id": "env.spec.id"}
r,l,t
-66,16,0.022004
-96,46,0.040008
-69,19,0.04701
-81,31,0.060013
-71,21,0.068015
-52,2,0.070015
-70,20,0.078017
-78,28,0.08902
-68,18,0.097021
-89,39,0.112025
-54,4,0.114025
13,37,0.129028
-56,6,0.13203
-73,23,0.141031
-55,5,0.144032
-13,63,0.169038
-68,18,0.176039
-56,6,0.17904
-56,6,0.182041
-52,2,0.18304
-81,31,0.196043
-65,15,0.202045
-56,6,0.205045
-62,12,0.210047
-54,4,0.212047
-84,34,0.22605
-72,22,0.235052
-52,2,0.236053
-56,6,0.239053
-58,8,0.243054
-59,9,0.247055
-57,7,0.250056
-82,32,0.263058
-75,25,0.273061
-125,75,0.302067
-76,26,0.31207
-60,10,0.317071
-57,7,0.320071
-65,15,0.326073
-60,10,0.331074
-58,8,0.334074
-60,10,0.339075
-58,8,0.342077
-69,19,0.350078
-52,2,0.352079
-74,24,0.361081
-68,18,0.369083
-68,18,0.377085
-57,7,0.380085
-53,3,0.382086
-58,8,0.385086
-75,25,0.395088
-68,18,0.40309
-72,22,0.412092
-53,3,0.414093
-106,56,0.436097
-91,41,0.453101
-62,12,0.458102
-97,47,0.476107
-75,25,0.486109
-65,15,0.49311
-64,14,0.499112
-93,43,0.516115
-54,4,0.518116
-62,12,0.523117
-78,28,0.53512
-68,18,0.542122
-54,4,0.544122
-58,8,0.548123
-52,2,0.549123
-52,2,0.550124
-81,31,0.563126
-95,45,0.581131
-116,66,0.607136
-109,59,0.630142
-55,5,0.632142
-103,53,0.653147
-60,10,0.657147
-88,38,0.672151
-84,34,0.686154
-78,28,0.697157
-65,15,0.704158
-58,8,0.707159
-55,5,0.70916
-63,13,0.71516
-63,13,0.721162
-62,12,0.726163
-58,8,0.729164
-55,5,0.732164
-76,26,0.742166
-91,41,0.75917
-61,11,0.763171
-60,10,0.768172
-70,20,0.776174
-57,7,0.779175
-65,15,0.786176
24,26,0.796179
-58,8,0.800179
-54,4,0.80218
-119,69,0.829186
-63,13,0.835187
-69,19,0.842189
-116,66,0.868195
-69,19,0.876197
-83,33,0.8902
-54,4,0.8922
-98,48,0.910204
-65,15,0.917207
-60,10,0.921206
-54,4,0.923207
-67,17,0.930209
-67,17,0.937211
-57,7,0.941211
-58,8,0.944212
-53,3,0.946212
-52,2,0.947213
-54,4,0.949213
-72,22,0.958215
-75,25,0.96834
-109,59,0.992346
-70,20,1.000347
-71,21,1.008349
-68,18,1.016351
-79,29,1.028354
-64,14,1.034355
-77,27,1.045357
-54,4,1.047358
-116,66,1.073364
-115,65,1.09937
-98,48,1.118374
-85,35,1.132377
-80,30,1.143379
-52,2,1.14538
-52,2,1.14638
-52,2,1.147381
-60,10,1.152382
-56,6,1.155382
-107,57,1.177388
-52,2,1.178387
-70,20,1.186389
-52,2,1.18839
-75,25,1.198392
-55,5,1.200392
-67,17,1.207394
-68,18,1.215396
-70,20,1.223397
-75,25,1.233401
-119,69,1.260406
-60,10,1.265408
-66,16,1.271409
-57,7,1.275409
-78,28,1.286412
-62,12,1.291413
-61,11,1.296414
-54,4,1.298415
-61,11,1.302415
-58,8,1.306416
-70,20,1.314418
-54,4,1.316419
-82,32,1.329422
-58,8,1.333422
-84,34,1.346425
