#{"t_start": 1655763974.7687097, "env_id": "env.spec.id"}
r,l,t
-61,11,25.904469
-66,16,25.950479
-96,46,26.065504
-100,100,26.306558
-114,64,26.479597
-72,22,26.540611
-22,72,26.732653
-134,84,26.957704
-149,99,27.219951
-56,6,27.236955
-99,49,27.363983
-60,10,27.38999
-71,21,27.445003
6,44,27.563027
-91,41,27.667052
-30,80,27.8851
-69,19,27.935111
-62,12,27.967118
-114,64,28.127154
-80,30,28.204171
-74,24,28.267185
-88,38,28.361207
-132,82,28.567253
-25,75,28.756295
-132,82,28.95734
-67,17,29.00135
-84,34,29.088369
10,40,29.187392
-94,44,29.29592
-100,100,30.435873
12,38,30.530894
-86,36,30.621915
-72,22,30.675926
-87,37,30.762946
-69,19,30.808956
-100,100,31.041427
-91,41,31.139448
-103,53,31.263476
-77,27,31.327662
1,49,31.442688
-88,38,31.527707
5,45,31.633731
-67,17,31.67374
-77,27,31.73676
-100,100,31.969632
-59,9,31.988635
-100,100,32.222688
-59,9,32.243692
-100,100,32.474744
-108,58,32.611775
-79,29,32.68079
-73,23,32.734803
-55,5,32.746806
-101,51,32.87078
-61,11,32.897658
-102,52,33.026686
-72,22,33.081699
-78,28,33.148715
-15,65,33.307749
20,30,33.383774
-79,29,33.457789
-91,41,33.554812
39,11,33.581037
-119,69,33.743073
13,37,33.834194
-93,43,33.936213
-100,100,34.173196
-100,100,34.417086
-100,100,34.661213
-100,100,34.902265
-77,27,34.96828
-8,58,35.110316
-114,64,36.146431
-100,100,36.388485
5,45,36.497509
31,19,36.54652
-72,22,36.600532
-87,37,36.690552
9,41,36.788574
-60,10,36.812579
-100,100,37.049632
-57,7,37.068637
-63,13,37.099644
-81,31,37.174661
-87,37,37.271682
-100,100,37.509735
15,35,37.596755
-93,43,37.700778
-94,44,37.804802
13,37,37.896822
-83,33,37.972839
-73,23,38.02685
-80,30,38.100867
17,33,38.176884
7,43,38.279908
-62,12,38.309915
8,42,38.406936
-67,17,38.447945
-74,24,38.504958
-23,73,38.687143
-14,64,38.849179
-87,37,38.9432
-65,15,38.982208
-69,19,39.030219
-75,25,39.095234
-113,63,39.261271
0,50,39.381297
-104,54,39.505325
-89,39,39.601347
32,18,39.645356
33,17,39.690367
-18,68,39.854403
-87,37,39.943424
-80,30,40.016439
-60,10,40.039445
-104,54,40.172626
15,35,40.253644
-99,49,40.374671
22,28,40.438686
23,27,40.506701
19,31,40.583717
-69,19,40.629728
-70,20,40.678739
19,31,40.755755
-96,46,40.864944
-72,22,40.918956
-100,100,42.05521
-101,51,42.176238
13,37,42.264257
-52,2,42.270258
29,21,42.319269
-100,100,42.562324
-55,5,42.574327
-100,100,42.81438
-68,18,42.85839
22,28,42.927405
-92,42,43.028428
-100,100,43.275483
17,33,43.3525
6,44,43.457524
-68,18,43.501534
-90,40,43.598715
6,44,43.70574
-80,30,43.780757
-56,6,43.795759
30,20,43.844771
18,32,43.92679
40,10,43.950795
19,31,44.029813
27,23,44.087826
-118,68,44.251862
-100,100,44.51092
-53,3,44.518922
-13,63,44.676957
-49,99,44.956874
-61,11,45.002884
-25,75,45.330082
-1,51,45.550132
19,31,45.679161
-107,57,45.919214
-67,17,45.992232
5,45,46.173271
30,20,46.25729
-76,26,46.361658
-86,36,46.50069
32,18,46.570706
-70,20,46.653724
-146,96,47.042812
16,34,47.17184
16,34,47.301869
-45,95,47.669088
-69,19,47.746105
-90,40,47.90214
35,15,47.959152
-100,100,49.389626
33,17,49.433635
-9,59,49.578667
42,8,49.598672
-76,26,49.660686
-54,4,49.671688
-64,14,49.706696
31,19,49.755707
-88,38,49.852729
10,40,49.945749
-64,14,49.984759
-71,21,50.03677
-72,22,50.096783
17,33,50.185804
-75,25,50.249818
6,44,50.363002
-88,38,50.462025
10,40,50.563047
-65,15,50.602057
33,17,50.646066
39,11,50.674072
37,13,50.70808
-59,9,50.731085
9,41,50.827106
-14,64,50.982141
25,25,51.043155
36,14,51.080163
31,19,51.128174
-73,23,51.187188
-55,5,51.201191
0,50,51.325218
-55,5,51.338221
33,17,51.378229
32,18,51.42324
25,25,51.483253
16,34,51.567272
-120,70,51.734309
-2,52,51.863338
24,26,51.928353
33,17,51.971362
-61,11,51.998368
-2,52,52.120396
34,16,52.157404
-100,100,52.401459
-8,58,52.543491
-79,29,52.615507
-8,58,52.756538
-52,2,52.762539
29,21,52.818552
22,28,52.886567
-58,8,52.906571
32,18,52.94958
-99,49,53.068608
21,29,53.14085
29,21,53.192861
-53,3,53.200863
-2,52,53.327891
5,45,53.437916
28,22,53.493928
11,39,53.586949
39,11,53.613955
-70,20,53.664967
31,19,53.709977
-69,19,53.756987
5,45,53.864011
32,18,53.908021
-87,37,53.998041
-68,18,54.043051
16,34,54.12607
13,37,54.21609
-70,20,54.261099
-84,34,54.34412
-68,18,54.387128
-108,58,55.500553
-66,16,55.540562
37,13,55.572569
19,31,55.648586
20,30,55.729774
7,43,55.8438
35,15,55.883809
8,42,55.994834
5,45,56.107859
35,15,56.149868
-4,54,56.2899
21,29,56.370917
-77,27,56.441934
-70,20,56.501948
15,35,56.590968
26,24,56.654982
19,31,56.733999
37,13,56.767007
-78,28,56.838023
17,33,56.927043
-12,62,57.096081
27,23,57.157094
33,17,57.199287
-56,6,57.215291
-57,7,57.233295
37,13,57.266302
-1,51,57.38933
29,21,57.441342
13,37,57.534363
-100,100,57.777547
-55,5,57.790573
6,44,57.900598
-52,2,57.907599
37,13,57.939607
13,37,58.028626
39,11,58.055633
21,29,58.126084
35,15,58.162092
17,33,58.24225
31,19,58.287237
-70,20,58.335247
-59,9,58.360254
-6,56,58.495283
26,24,58.551455
-60,10,58.57446
28,22,58.625472
14,36,58.717492
-42,92,58.938541
42,8,58.958546
-54,4,58.968548
16,34,59.049566
22,28,59.119582
38,12,59.149588
17,33,59.231607
34,16,59.271616
28,22,59.325628
40,10,59.348633
-55,5,59.362636
15,35,59.445654
32,18,59.489665
27,23,59.545677
5,45,59.662703
20,30,59.73772
27,23,59.794733
-63,13,59.82874
-101,51,59.955931
23,27,60.026945
-65,15,60.063953
10,40,60.162976
30,20,60.214988
21,29,60.287151
4,46,60.396175
-18,68,61.495193
17,33,61.576211
38,12,61.606219
-63,13,61.641226
-58,8,61.663231
22,28,61.736248
20,30,61.816265
25,25,61.88428
4,46,62.005307
41,9,62.029313
-97,47,62.15034
28,22,62.206353
29,21,62.259364
26,24,62.321378
30,20,62.37239
31,19,62.4204
24,26,62.488415
36,14,62.526423
32,18,62.574434
27,23,62.630605
36,14,62.666614
40,10,62.69262
36,14,62.729628
22,28,62.799643
26,24,62.860657
24,26,62.927672
-57,7,62.944676
-56,6,62.96268
-57,7,62.981684
20,30,63.056701
27,23,63.112714
-63,13,63.144721
30,20,63.194732
32,18,63.241743
7,43,63.347766
-52,2,63.353768
-87,37,63.443788
31,19,63.491799
-59,9,63.517805
-53,3,63.524806
-84,34,63.613826
18,32,63.695845
12,38,63.789866
22,28,63.860881
20,30,63.938899
32,18,63.981909
35,15,64.020917
18,32,64.100116
31,19,64.149127
-66,16,64.188135
-62,12,64.218142
11,39,64.319164
26,24,64.379179
-57,7,64.398183
27,23,64.458196
32,18,64.503206
17,33,64.584225
36,14,64.617232
3,47,64.730257
22,28,64.797271
22,28,64.867288
-59,9,64.893293
-61,11,64.9223
-57,7,64.942304
22,28,65.01232
17,33,65.098339
19,31,65.180358
34,16,65.221366
30,20,65.271379
-111,61,65.42459
-64,14,65.459598
27,23,65.520612
18,32,65.604964
-15,65,65.767
13,37,65.865022
