#{"t_start": 1657056861.3034909, "env_id": "env.spec.id"}
r,l,t
-63,13,3.76947
-53,3,3.77247
-67,17,3.784281
-68,18,3.797566
-61,11,3.806041
-65,15,3.817059
-58,8,3.822981
-53,3,3.827002
-73,23,3.845044
-78,28,3.865051
-81,31,3.887091
-53,3,3.890094
-94,44,3.923614
-57,7,3.92912
-113,63,3.97196
-54,4,3.975788
-86,36,4.002904
-54,4,4.006624
-54,4,4.009772
-57,7,4.015571
-58,8,4.021572
-99,49,4.055583
-68,18,4.06859
-52,2,4.070591
-66,16,4.083124
-52,2,4.085126
-79,29,4.107134
-67,17,4.120138
-53,3,4.123138
-54,4,4.126139
-62,12,4.13514
-67,17,4.148143
-68,18,4.162003
-80,30,4.185008
-74,24,4.203253
-54,4,4.210255
-110,60,4.257408
-56,6,4.262409
-53,3,4.265409
-66,16,4.28142
17,33,4.305426
-73,23,4.321437
-54,4,4.326218
-68,18,4.339217
-90,40,4.368227
-69,19,4.382946
-52,2,4.384947
-79,29,4.40627
-56,6,4.411272
-52,2,4.414271
-139,89,4.476465
-94,44,4.511599
-53,3,4.5136
-85,35,4.539032
-94,44,4.570074
-60,10,4.578076
-54,4,4.581077
-52,2,4.583592
-60,10,4.590585
-53,3,4.59436
-66,16,4.60605
-60,10,4.614062
-69,19,4.630324
-63,13,4.643326
-59,9,4.6503
-63,13,4.658303
-59,9,4.665304
-66,16,4.677307
-65,15,4.688309
-61,11,4.697311
-79,29,4.718315
-59,9,4.725576
-66,16,4.736669
-57,7,4.74367
-72,22,4.760336
-64,14,4.771343
-52,2,4.776344
-57,7,4.784346
-56,6,4.78935
-54,4,4.79235
-55,5,4.797375
-53,3,4.800375
-60,10,4.80838
-52,2,4.810381
-54,4,4.813382
-57,7,4.819382
-57,7,4.825242
-68,18,4.839465
-57,7,4.845466
-68,18,4.860124
-59,9,4.866701
-52,2,4.868701
-78,28,4.891796
-58,8,4.897793
-73,23,4.913797
-66,16,4.9288
-61,11,4.937802
-56,6,4.942804
-67,17,4.956807
-54,4,4.959808
-68,18,4.972811
-65,15,4.983814
-58,8,4.989814
