#{"t_start": 1655808170.4775553, "env_id": "env.spec.id"}
r,l,t
-76,26,0.077017
-86,36,0.172038
-58,8,0.195043
-72,22,0.253056
-116,66,0.424094
-102,52,0.559127
-52,2,0.564128
-53,3,0.572129
-66,16,0.614142
-80,30,0.69416
-63,13,0.728167
17,33,0.814187
-54,4,0.824189
-81,31,0.904207
-57,7,0.922211
-54,4,0.932213
-53,3,0.943216
-67,17,0.986227
-72,22,1.04424
-94,44,1.159266
-69,19,1.207276
-71,21,1.262288
-98,48,1.384435
-87,37,1.479456
-64,14,1.517465
-53,3,1.525466
-58,8,1.548471
-59,9,1.571476
-62,12,1.603483
-56,6,1.618487
-54,4,1.63049
-70,20,1.680502
-52,2,1.685504
-64,14,1.723518
-58,8,1.744524
-61,11,1.77253
-91,41,1.876554
-52,2,1.883555
-76,26,1.95057
-74,24,2.013586
-71,21,2.0676
-106,56,2.209632
-57,7,2.227636
-64,14,2.265644
-57,7,2.284649
-65,15,2.323658
-88,38,2.421681
-69,19,2.473697
-81,31,2.554716
-80,30,2.630733
-81,31,2.712751
-64,14,2.748761
-64,14,2.784771
-54,4,2.796773
-52,2,2.800774
-53,3,2.811777
-66,16,2.851787
-66,16,2.893796
-63,13,2.926804
-87,37,3.022825
-67,17,3.065835
-67,17,3.110847
-72,22,3.166859
-57,7,3.183863
-86,36,3.276884
-52,2,3.281885
-75,25,3.3489
-53,3,3.356902
-52,2,3.362904
-84,34,3.450922
-111,61,3.610967
-71,21,3.660979
-53,3,3.669981
-56,6,3.684984
-55,5,3.696987
-60,10,3.722992
-64,14,3.759001
-56,6,3.776004
-57,7,3.795009
-52,2,3.80001
-63,13,3.834019
-77,27,3.908039
-65,15,3.944046
-54,4,3.956048
-77,27,4.025064
-88,38,4.123086
-69,19,4.171098
-67,17,4.214109
-53,3,4.225112
-70,20,4.278125
-68,18,4.326135
-78,28,4.395151
-64,14,4.43416
-65,15,4.474169
-94,44,4.592196
-61,11,4.620205
-59,9,4.64621
-52,2,4.650212
-60,10,4.678218
-52,2,4.683219
-63,13,4.716226
-55,5,4.73023
-67,17,4.775239
-85,35,4.86726
-64,14,4.905268
-59,9,4.929274
-73,23,4.990561
-70,20,5.043303
-60,10,5.067308
-61,11,5.095314
-52,2,5.102316
-68,18,5.149327
-72,22,5.20834
-78,28,5.281356
-67,17,5.326368
-53,3,5.334369
-63,13,6.336363
-82,32,6.417384
-60,10,6.445393
-100,100,6.697975
-70,20,6.748986
-56,6,6.76499
-71,21,6.817005
-90,40,6.919034
-97,47,7.039061
-81,31,7.118079
-73,23,7.179092
-84,34,7.265115
-97,47,7.387142
-69,19,7.435153
-93,43,7.547178
-56,6,7.563705
-83,33,7.647727
-97,47,7.764754
-82,32,7.845772
-67,17,7.888781
-84,34,7.975808
-81,31,8.050825
-57,7,8.069829
-53,3,8.077831
17,33,8.161995
-119,69,8.33605
-93,43,8.445075
-71,21,8.503088
-71,21,8.5571
-101,51,8.688258
-75,25,8.753274
-64,14,8.787281
-71,21,8.842293
4,46,8.961323
-65,15,9.001333
-64,14,9.03934
-70,20,9.090352
-52,2,9.095352
-89,39,9.192374
-68,18,9.239384
-53,3,9.248387
-62,12,9.280394
-75,25,9.346409
-55,5,9.360412
-18,68,9.533451
-73,23,9.592463
-63,13,9.628471
-53,3,9.636473
-96,46,9.756511
-102,52,9.887544
-67,17,9.932554
-94,44,10.049581
-77,27,10.118603
-74,24,10.181618
-60,10,10.209624
-100,100,10.464681
-52,2,10.470682
-58,8,10.491687
-53,3,10.499688
-65,15,10.536697
-56,6,10.551701
-91,41,10.656724
-78,28,10.73074
-55,5,10.742743
-86,36,10.834767
-64,14,10.870782
-94,44,10.983812
-62,12,11.012818
-86,36,11.104838
-85,35,11.195858
-102,52,11.328887
20,30,11.404029
-78,28,11.475045
-53,3,11.484047
-73,23,11.54206
-73,23,12.574811
-64,14,12.610819
-107,57,12.760854
-49,99,13.016422
-56,6,13.033426
13,37,13.130454
-120,70,13.313495
-90,40,13.415522
-91,41,13.520558
-52,2,13.527559
-88,38,13.624581
-68,18,13.670591
-133,83,13.884639
-103,53,14.02167
-136,86,14.243733
-84,34,14.329752
21,29,14.404768
-85,35,14.493793
-69,19,14.543317
-52,2,14.548318
-127,77,14.744362
-97,47,14.864398
-62,12,14.896408
-127,77,15.091451
-72,22,15.148463
-54,4,15.159466
-63,13,15.190473
-72,22,15.247493
-72,22,15.305505
-62,12,15.338513
-53,3,15.346515
-52,2,15.351516
-94,44,15.46054
-62,12,15.493547
-74,24,15.556562
-82,32,15.638584
-76,26,15.704599
-69,19,15.753116
-54,4,15.762119
-70,20,15.81613
-100,100,16.072191
-69,19,16.12034
-80,30,16.193356
-65,15,16.233365
-90,40,16.334391
-112,62,16.492426
-97,47,16.612453
-100,100,16.867524
-58,8,16.888529
-84,34,16.975549
-70,20,17.026069
-72,22,17.082587
-72,22,17.1386
-60,10,17.164606
-108,58,17.314639
-83,33,17.398658
-68,18,17.446673
-96,46,17.562699
-66,16,17.604708
-56,6,17.619711
-52,2,17.625713
-57,7,17.643717
-52,2,17.649718
-80,30,17.724735
-98,48,18.832998
4,46,18.948026
-100,100,19.206203
-119,69,19.385246
-61,11,19.414253
-63,13,19.448261
-63,13,19.480267
-74,24,19.544281
-53,3,19.554284
-61,11,19.58329
-63,13,19.617298
-103,53,19.754331
-74,24,19.813344
-139,89,20.042395
-53,3,20.051397
-3,53,20.186432
-107,57,20.336466
-75,25,20.401481
-86,36,20.496502
-82,32,20.578525
-100,100,20.834582
-52,2,20.842584
-139,89,21.06564
-81,31,21.146658
-69,19,21.196671
-88,38,21.297698
-87,37,21.394719
-107,57,21.543753
-56,6,21.560757
-73,23,21.619772
-58,8,21.64278
-100,50,21.770808
-100,100,22.023868
-107,57,22.1669
-61,11,22.193906
-67,17,22.239917
-65,15,22.279925
-106,56,22.423959
-64,14,22.460968
-58,8,22.480972
-68,18,22.527982
-88,38,22.629005
-85,35,22.720659
-97,47,22.840689
18,32,22.924708
17,33,23.010729
-116,66,23.179936
-59,9,23.204942
-107,57,23.350975
-83,33,23.439049
-91,41,23.543072
-93,43,23.657097
-129,79,23.861148
-60,10,23.887153
-78,28,23.96017
17,33,24.047189
-52,2,24.05319
-74,24,25.08858
-67,17,25.13259
-57,7,25.151594
-73,23,25.212607
-121,71,25.389663
30,20,25.442675
-71,21,25.497687
-15,65,25.660731
-100,100,25.916308
-58,8,25.938313
-104,54,26.075366
-55,5,26.088367
-115,65,26.25141
-61,11,26.281417
-56,6,26.29842
-72,22,26.355433
-145,95,26.598525
-95,45,26.713551
-55,5,26.726554
-137,87,26.944143
15,35,27.033164
-105,55,27.171201
-58,8,27.193207
-74,24,27.251219
-120,70,27.425258
-64,14,27.463267
-125,75,27.655323
-52,2,27.661324
-143,93,27.940387
-86,36,28.064964
-90,40,28.18699
-100,100,28.443561
-64,14,28.479569
17,33,28.567589
11,39,28.671612
-88,38,28.772151
-132,82,28.987198
-78,28,29.058731
-64,14,29.095739
-75,25,29.163408
-36,86,29.389553
-64,14,29.427582
-105,55,29.574615
-67,17,29.619625
17,33,29.706645
-85,35,29.797667
-62,12,29.830678
-76,26,29.899701
-88,38,30.000841
-100,100,30.264902
-95,45,30.384929
-106,56,31.520851
-24,74,31.710894
-67,17,31.756904
31,19,31.807043
-86,36,31.902064
-100,100,32.15416
-53,3,32.163162
-53,3,32.172164
35,15,32.210172
-79,29,32.284189
-15,65,32.450233
-82,32,32.532251
-42,92,32.766303
-83,33,32.851455
-100,100,33.105512
36,14,33.144042
-16,66,33.309089
-88,38,33.407111
16,34,33.49613
-144,94,33.732183
-61,11,33.76019
21,29,33.833731
-100,100,34.091794
-75,25,34.155808
-85,35,34.244836
27,23,34.301848
-16,66,34.471886
-100,100,34.731951
37,13,34.765958
-67,17,34.810968
-112,62,34.966007
-90,40,35.06803
-112,62,35.226065
-86,36,35.317085
-72,22,35.375626
-67,17,35.417766
27,23,35.476779
-52,2,35.48178
-105,55,35.620811
32,18,35.667821
-146,96,35.911886
-66,16,35.953896
32,18,36.000906
-57,7,36.01891
-76,26,36.083925
2,48,36.207959
-63,13,36.241967
-65,15,36.279976
-133,83,36.489026
-67,17,36.53304
-61,11,36.561556
-109,59,37.694343
22,28,37.763359
-85,35,37.858381
16,34,37.948401
-103,53,38.083433
-96,46,38.204459
-57,7,38.224464
16,34,38.310483
-77,27,38.381499
-72,22,38.438512
22,28,38.511056
-74,24,38.573073
-65,15,38.612081
-131,81,38.82665
22,28,38.897666
-54,4,38.909669
-79,29,38.985686
-53,3,38.993688
-63,13,39.026695
-94,44,39.140721
-89,39,39.244746
-147,97,39.495324
19,31,39.575348
21,29,39.650364
28,22,39.709377
40,10,39.736383
-75,25,39.800397
-82,32,39.884415
-104,54,40.026454
-79,29,40.09847
25,25,40.163485
15,35,40.254505
-54,4,40.265508
24,26,40.330522
15,35,40.422549
-73,23,40.480562
-65,15,40.521571
11,39,40.622594
-81,31,40.700611
1,49,40.828641
34,16,40.869674
23,27,40.93969
-52,2,40.947692
-82,32,41.030712
17,33,41.115735
-62,12,41.147742
-52,2,41.154743
29,21,41.209756
-67,17,41.255766
-105,55,41.396797
-66,16,41.437807
17,33,41.526945
-71,21,41.580958
-65,15,41.622967
