#{"t_start": 1656793425.7723093, "env_id": "env.spec.id"}
r,l,t
-73,23,0.019004
-53,3,0.021004
-58,8,0.027006
-55,5,0.030006
-79,29,0.049011
-127,77,0.095021
-69,19,0.108024
-73,23,0.123027
-69,19,0.13503
-53,3,0.13803
-53,3,0.140031
-56,6,0.145033
-52,2,0.147033
-90,40,0.170038
-67,17,0.18104
-53,3,0.183041
-64,14,0.192042
-63,13,0.201045
-71,21,0.214048
-68,18,0.22505
-54,4,0.228051
-97,47,0.256057
-60,10,0.263059
-66,16,0.273061
-81,31,0.292065
-54,4,0.295066
-81,31,0.31407
-53,3,0.317071
-61,11,0.324072
-52,2,0.326073
-78,28,0.343077
-57,7,0.347077
-57,7,0.352078
-112,62,0.391087
-58,8,0.396089
-61,11,0.40309
-113,63,0.442099
-52,2,0.444099
-83,33,0.465104
-66,16,0.475106
-56,6,0.479107
26,24,0.495111
-61,11,0.503113
-70,20,0.515115
-95,45,0.542121
-100,50,0.573128
-77,27,0.590132
-59,9,0.596133
-106,56,0.631141
-60,10,0.638143
-56,6,0.644144
-56,6,0.648145
-61,11,0.656147
-59,9,0.662148
-64,14,0.674151
-68,18,0.687154
-61,11,0.695156
-60,10,0.701157
-82,32,0.721161
-83,33,0.742166
-61,11,0.749167
-53,3,0.752168
-55,5,0.756169
-62,12,0.764171
-67,17,0.775174
-102,52,0.805181
-102,52,0.838188
-79,29,0.858192
-65,15,0.868195
-56,6,0.872195
-57,7,0.877196
-79,29,0.895201
-52,2,0.897201
-82,32,0.917205
-52,2,0.919205
24,26,0.93521
-68,18,0.947212
-78,28,0.967216
-55,5,0.971218
-78,28,0.988222
-57,7,0.993223
-65,15,1.003225
-53,3,1.006226
-52,2,1.007225
-88,38,1.031231
-54,4,1.034232
-57,7,1.039233
-64,14,1.049235
-89,39,1.074241
-81,31,1.093245
-86,36,1.11525
-63,13,1.123252
-56,6,1.127252
-74,24,1.142256
-70,20,1.155259
-64,14,1.164261
-70,20,1.177264
-89,39,1.201269
-63,13,1.210271
-83,33,1.231396
-108,58,1.269405
-58,8,1.275407
-72,22,1.291409
-62,12,1.299412
-62,12,1.307414
-52,2,1.308414
-70,20,1.321417
-53,3,1.323418
-75,25,1.338421
-65,15,1.348423
-70,20,1.361426
-61,11,1.368427
-78,28,1.385431
-57,7,1.393433
-79,29,1.411437
-53,3,1.414438
-58,8,1.420439
-71,21,1.432441
-78,28,1.451446
-76,26,1.46945
-57,7,1.474451
-62,12,1.482453
-58,8,1.487454
-56,6,1.491454
-57,7,1.496456
-58,8,1.502458
-91,41,1.530464
-110,60,1.567472
-60,10,1.574473
-80,30,1.593478
-52,2,1.595478
-63,13,1.603481
-74,24,1.618483
-52,2,1.620484
-67,17,1.631486
-60,10,1.638488
-56,6,1.642489
-84,34,1.663494
-63,13,1.672495
-65,15,1.682498
-71,21,1.695501
-131,81,1.745512
-71,21,1.758515
-78,28,1.778519
-60,10,1.78552
-74,24,1.801524
-52,2,1.802524
-80,30,1.821529
-70,20,1.834532
-75,25,1.850535
-69,19,1.862538
-66,16,1.87254
-58,8,1.877541
-70,20,1.890544
-59,9,1.896546
-78,28,1.914549
-73,23,1.928553
-68,18,1.939555
-59,9,1.945557
-61,11,1.953559
-76,26,1.969562
-54,4,1.972563
-52,2,1.976563
-75,25,1.992567
-72,22,2.007202
