#{"t_start": 1654694131.8333888, "env_id": "env.spec.id"}
r,l,t
-52,2,0.011003
-62,12,0.037009
-76,26,0.095022
-65,15,0.128029
30,20,0.170039
-69,19,0.211048
-71,21,0.256058
-56,6,0.269061
-75,25,0.321073
-113,63,0.450102
-65,15,0.481109
-62,12,0.506114
-60,10,0.528249
-65,15,0.559256
-140,90,0.742298
-76,26,0.79631
-56,6,0.809313
-73,23,0.856323
-96,46,0.950345
-69,19,0.990354
-56,6,1.003356
-69,19,1.044366
-76,26,1.100378
-57,7,1.115381
-62,12,1.141387
-87,37,1.217405
-80,30,1.279538
-57,7,1.29454
-65,15,1.325547
-56,6,1.339551
-95,45,1.431571
-95,45,1.523592
-56,6,1.536595
-60,10,1.5586
-52,2,1.563601
-65,15,1.594608
-76,26,1.64762
-104,54,1.758645
-91,41,1.842664
-79,29,1.901793
-66,16,1.935801
-58,8,1.952805
-54,4,1.962807
-88,38,2.040825
-80,30,2.101838
-52,2,2.10684
-54,4,2.116842
-52,2,2.120843
-78,28,2.178856
-62,12,2.203861
-71,21,2.247871
-61,11,2.270877
-72,22,2.315886
-66,16,2.349894
-69,19,2.388903
-54,4,2.397905
-62,12,2.422911
-69,19,2.46292
-59,9,2.481924
-52,2,2.486925
-54,4,2.495927
-68,18,2.532935
-83,33,2.59995
-78,28,2.657963
-52,2,2.662965
-57,7,2.677968
-85,35,2.749984
-117,67,2.886015
-52,2,2.891017
-54,4,2.901018
-55,5,2.91202
-52,2,2.917022
-62,12,2.942027
-94,44,3.032048
-70,20,3.073057
-64,14,3.102063
-69,19,3.142072
-70,20,3.183082
-69,19,3.22209
-70,20,3.264104
-59,9,3.283109
-67,17,3.318116
-58,8,3.33612
-69,19,3.375129
-82,32,3.441144
-79,29,3.500157
-54,4,3.509159
-53,3,3.516161
-68,18,3.55417
-63,13,3.581176
-80,30,3.64219
-60,10,3.663194
-60,10,3.685199
-53,3,3.692201
-62,12,3.717206
-84,34,3.787222
-56,6,3.800225
-68,18,3.837234
-68,18,3.875242
-66,16,3.908249
-61,11,3.931255
-70,20,3.973264
-57,7,3.988267
-64,14,4.017274
-79,29,4.077287
-62,12,4.102293
-52,2,4.107294
-85,35,4.17831
-56,6,4.192313
-73,23,4.239324
-89,39,5.032237
-96,46,5.127258
-102,52,5.233282
-67,17,5.268291
-139,89,5.449331
-67,17,5.484339
-116,66,5.619369
-118,68,5.7574
-101,51,5.861423
-81,31,5.925438
-56,6,5.938441
-56,6,5.951444
-74,24,6.001456
-58,8,6.018459
-150,100,6.221504
-69,19,6.261513
-92,42,6.347535
-63,13,6.374542
-90,40,6.45656
-123,73,6.604594
-81,31,6.668608
-61,11,6.691613
-103,53,6.799638
-54,4,6.80864
-115,65,6.940669
-134,84,7.111707
-69,19,7.151717
28,22,7.196727
-76,26,7.250739
-62,12,7.275744
-106,56,7.389771
-85,35,7.461786
-92,42,7.547806
-126,76,7.70184
-60,10,7.722845
-81,31,7.78686
-71,21,7.829869
-122,72,7.976902
-77,27,8.031915
-66,16,8.065922
-62,12,8.090928
-82,32,8.155943
-106,56,8.269968
-94,44,8.359988
-102,52,8.466012
-76,26,8.520025
-115,65,8.652054
-90,40,8.733181
-100,100,8.937227
-90,40,9.019245
-56,6,9.032248
-52,2,9.037249
-98,48,9.134271
-100,100,10.046477
-79,29,10.10649
-91,41,10.190509
-67,17,10.226517
-94,44,10.315537
-97,47,10.411559
-56,6,10.424562
-102,52,10.530586
-10,60,10.652613
-74,24,10.702625
-52,2,10.707626
-62,12,10.732631
-90,40,10.81465
-57,7,10.829653
-57,7,10.844656
-101,51,10.94868
-124,74,11.098713
-77,27,11.154726
-73,23,11.201737
-58,8,11.21874
-56,6,11.231744
-60,10,11.252748
-74,24,11.302875
-98,48,11.400897
-59,9,11.419901
-126,76,11.573936
-65,15,11.605943
-113,63,11.733972
-131,81,11.89812
-143,93,12.088163
-82,32,12.153177
21,29,12.213191
4,46,12.306211
-97,47,12.402233
-95,45,12.494254
-100,50,12.596277
-73,23,12.644288
-55,5,12.655291
2,48,12.753312
-73,23,12.800431
-100,100,13.003476
-64,14,13.033483
-61,11,13.056489
-101,51,13.161512
-94,44,13.251533
-66,16,13.28454
-75,25,13.336552
-62,12,13.361557
-100,100,13.564603
8,42,13.650622
-77,27,13.705635
-97,47,13.801656
-100,100,14.004702
-67,17,14.04071
-55,5,14.051713
-100,100,14.964919
-86,36,15.040936
-131,81,15.208973
18,32,15.274989
-59,9,15.294993
-109,59,15.41702
11,39,15.498038
-76,26,15.553053
-36,86,15.728092
-122,72,15.874125
-56,6,15.887129
-39,89,16.068169
-77,27,16.124182
-76,26,16.178194
-64,14,16.207201
-60,10,16.229206
-68,18,16.266214
-113,63,16.395357
-110,60,16.518384
-74,24,16.568395
-7,57,16.684421
-67,17,16.719429
-65,15,16.750436
-103,53,16.85846
-53,3,16.865463
-72,22,16.911475
-59,9,16.930479
-20,70,17.072511
-75,25,17.124522
-63,13,17.151529
-61,11,17.174534
-62,12,17.199539
-58,8,17.216543
