#{"t_start": 1654694667.0241501, "env_id": "env.spec.id"}
r,l,t
-80,30,0.084018
-53,3,0.093021
-75,25,0.156034
-56,6,0.172039
-72,22,0.228051
-131,81,0.427096
-56,6,0.442099
-87,37,0.53312
-53,3,0.541122
-55,5,0.554125
-61,11,0.583132
33,17,0.625432
-71,21,0.677444
-55,5,0.690446
-58,8,0.710451
-73,23,0.767464
-66,16,0.806473
-55,5,0.819476
-83,33,0.901619
-84,34,0.986638
-67,17,1.030648
-90,40,1.132802
-74,24,1.192816
-74,24,1.251829
-72,22,1.306841
-75,25,1.369855
-52,2,1.375857
-60,10,1.400862
-59,9,1.423868
-72,22,1.47888
-82,32,1.557898
-68,18,1.602908
-64,14,1.638916
-63,13,1.671923
-59,9,1.694928
-54,4,1.704931
-67,17,1.74794
-64,14,1.782949
-65,15,1.820957
-55,5,1.833961
-91,41,1.934983
-54,4,1.945985
-65,15,1.983994
-69,19,2.031004
-52,2,2.037005
-55,5,2.050009
-57,7,2.068012
-54,4,2.079015
-77,27,2.14603
-86,36,2.23505
26,24,2.295064
-53,3,2.303066
-96,46,2.416204
-136,86,2.627251
-54,4,2.638253
-53,3,2.646256
-54,4,2.657258
-56,6,2.672261
-58,8,2.693266
-53,3,2.701267
-56,6,2.716271
-79,29,2.788287
-61,11,2.816294
-68,18,2.861304
-61,11,2.88931
-69,19,2.937321
-55,5,2.950324
-68,18,2.995334
-103,53,3.126364
-73,23,3.182376
-60,10,3.208382
-72,22,3.262394
-54,4,3.273396
-54,4,3.284399
-56,6,3.299402
-85,35,3.386422
-81,31,3.46444
-54,4,3.474443
-84,34,3.559461
-54,4,3.569463
-64,14,3.605471
-53,3,3.613473
-55,5,3.626476
-63,13,3.659483
-54,4,3.670486
-71,21,3.722498
-59,9,3.745503
-78,28,3.814626
-63,13,3.847632
-74,24,3.907646
-83,33,3.988664
-54,4,3.999666
-60,10,4.024673
-111,61,4.175707
-60,10,4.201712
-56,6,4.217716
-73,23,4.274729
-54,4,4.285731
-53,3,4.293733
-67,17,4.336743
-73,23,4.393755
-56,6,4.408759
-57,7,4.426763
-66,16,4.465772
-57,7,4.483776
-64,14,4.518784
-74,24,4.577797
-75,25,4.638811
-61,11,4.666817
-64,14,4.701825
-52,2,4.707826
-93,43,4.81285
-69,19,4.85886
-70,20,4.907871
-53,3,4.915873
-59,9,4.938878
-66,16,4.978887
-57,7,4.995891
-59,9,5.018896
-80,30,5.091913
-61,11,5.119919
-54,4,5.129921
-57,7,5.940791
-53,3,5.948793
-72,22,6.002805
-63,13,6.034812
-74,24,6.094826
-60,10,6.118831
-60,10,6.143837
-71,21,6.195849
-107,57,6.33488
-97,47,6.448906
-106,56,6.585047
-54,4,6.59605
-65,15,6.634058
-52,2,6.639059
-72,22,6.694072
-67,17,6.737081
-77,27,6.802096
-79,29,6.873112
-124,74,7.053152
-77,27,7.119167
-83,33,7.200186
-53,3,7.208188
-60,10,7.233193
-98,48,7.35122
-73,23,7.408233
-82,32,7.48625
-62,12,7.516257
-137,87,7.728305
3,47,7.84333
-71,21,7.894464
-54,4,7.905467
-65,15,7.942475
-99,49,8.061502
-61,11,8.088508
-54,4,8.09951
-64,14,8.134518
-55,5,8.147521
-60,10,8.172526
-16,66,8.333563
-62,12,8.363569
-52,2,8.369571
-59,9,8.391576
-79,29,8.463592
-57,7,8.481596
-55,5,8.494599
-97,47,8.608625
-104,54,8.740655
-58,8,8.761659
-101,51,8.884687
-52,2,8.890688
-56,6,8.906692
-87,37,8.996713
-91,41,9.096737
-69,19,9.143748
-58,8,9.164752
-95,45,9.273919
-92,42,9.375942
-87,37,9.466963
-60,10,9.491968
-54,4,9.502971
-63,13,9.534978
-62,12,9.564985
-52,2,9.570986
-64,14,9.605994
-59,9,9.627999
-79,29,9.699015
-82,32,9.778033
-118,68,9.94407
-56,6,9.960074
-79,29,10.03109
-56,6,10.047094
-120,70,10.216131
-137,87,10.427179
-59,9,10.450184
-85,35,10.536203
-58,8,10.556208
-76,26,10.620222
-56,6,10.636226
-76,26,10.701241
-59,9,10.724364
-116,66,10.8854
-84,34,11.755596
-132,82,11.954641
-79,29,12.025657
-58,8,12.046662
-78,28,12.114677
-66,16,12.154686
-100,100,12.396868
-106,56,12.532898
-59,9,12.555903
-100,100,12.798958
-60,10,12.823964
-101,51,12.947106
-17,67,13.110143
-67,17,13.153152
-111,61,13.300186
-106,56,13.437326
-71,21,13.488337
-14,64,13.644372
-126,76,13.828414
-75,25,13.889427
-53,3,13.89843
-52,2,13.90343
-100,100,14.146485
3,47,14.261511
-55,5,14.274514
-95,45,14.384539
-88,38,14.476559
14,36,14.56558
-85,35,14.650599
-102,52,14.777628
-65,15,14.814636
-139,89,15.030684
16,34,15.113703
-139,89,15.329752
-61,11,15.356758
19,31,15.432775
-82,32,15.511793
-58,8,15.531797
-136,86,15.740957
-99,49,15.860984
-63,13,15.893991
22,28,15.963006
-33,83,16.164053
-123,73,16.341093
-66,16,16.381103
-77,27,16.447117
-58,8,16.468122
-53,3,16.476124
-131,81,16.673168
-102,52,17.601377
20,30,17.676394
-52,2,17.682395
-63,13,17.715403
-61,11,17.742409
-87,37,17.832429
-70,20,17.88244
-63,13,17.915448
-100,100,18.160503
-70,20,18.209514
-112,62,18.359548
-129,79,18.551591
-88,38,18.644613
-64,14,18.679621
-55,5,18.691623
-100,100,18.934677
24,26,18.998692
-78,28,19.066707
30,20,19.116718
-69,19,19.16385
-93,43,19.267874
-70,20,19.317885
-126,76,19.502926
-33,83,19.704972
-134,84,19.909018
-72,22,19.96303
-73,23,20.020043
32,18,20.064053
-80,30,20.137202
-76,26,20.201216
-70,20,20.250228
21,29,20.322244
-80,30,20.39626
-60,10,20.421266
-141,91,20.646317
-80,30,20.720465
-102,52,20.847493
-119,69,21.017532
30,20,21.067543
-53,3,21.075544
-76,26,21.139559
-80,30,21.213576
-43,93,21.443628
-113,63,21.599147
-70,20,21.649158
-100,100,21.895214
-59,9,21.918219
-100,100,22.165275
-114,64,22.323311
10,40,22.422333
-71,21,22.474344
32,18,22.520355
-53,3,22.528357
-52,2,22.534358
-100,100,23.585594
-52,2,23.591596
-25,75,23.776637
31,19,23.824648
-119,69,23.994689
-94,44,24.104714
16,34,24.188732
-60,10,24.214738
-76,26,24.279753
31,19,24.325763
14,36,24.413783
-144,94,24.641834
-16,66,24.802871
-84,34,24.88589
24,26,24.948906
0,50,25.070934
-58,8,25.090938
-62,12,25.120945
5,45,25.23197
-55,5,25.244973
-108,58,25.385005
4,46,25.49703
-150,100,25.741208
-100,100,25.989264
4,46,26.10429
-61,11,26.132296
11,39,26.229318
33,17,26.271327
-52,2,26.277329
-70,20,26.32734
-29,79,26.523384
26,24,26.583398
-60,10,26.609404
11,39,26.706425
-88,38,26.801447
-92,42,26.90647
15,35,26.99349
26,24,27.053504
-2,52,27.183533
-42,92,27.411584
-80,30,27.485601
28,22,27.540613
-59,9,27.563618
-52,2,27.56962
-68,18,27.61563
-140,90,27.83768
-88,38,27.931701
-100,100,28.179757
-65,15,28.217766
9,41,28.319789
-7,57,28.470823
12,38,29.338018
-83,33,29.406033
2,48,29.504056
-83,33,29.572071
-67,17,29.608079
-34,84,29.779251
-58,8,29.796255
16,34,29.866271
-60,10,29.887275
-17,67,30.024306
-59,9,30.043311
4,46,30.138332
-56,6,30.151335
-64,14,30.181342
-29,79,30.342378
23,27,30.39739
-6,56,30.512416
-59,9,30.53142
42,8,30.548424
-88,38,30.627442
-6,56,30.742594
21,29,30.802608
-17,67,30.938638
38,12,30.964644
14,36,31.038661
-60,10,31.059665
16,34,31.129681
-2,52,31.235705
18,32,31.30172
-86,36,31.375737
-9,59,31.496764
17,33,31.564779
-22,72,31.711812
-133,83,31.88085
14,36,31.955868
24,26,32.008879
-5,55,32.120905
24,26,32.174917
-62,12,32.199922
11,39,32.279941
-9,59,32.40097
12,38,32.478988
-14,64,32.610018
-9,59,32.731045
42,8,32.748049
-100,100,32.953094
28,22,32.998105
26,24,33.048117
29,21,33.092126
31,19,33.131135
-10,60,33.254163
27,23,33.301173
-95,45,33.393194
33,17,33.429202
-56,6,33.442205
14,36,34.236384
-136,86,34.412424
33,17,34.450432
12,38,34.52845
34,16,34.562457
26,24,34.611468
34,16,34.645476
27,23,34.692486
18,32,34.759501
36,14,34.788511
22,28,34.846524
16,34,34.91654
5,45,35.009561
34,16,35.042569
18,32,35.108583
22,28,35.165598
37,13,35.193604
-56,6,35.206607
36,14,35.235614
4,46,35.329635
19,31,35.393649
32,18,35.431658
-66,16,35.464665
25,25,35.516677
20,30,35.578691
24,26,35.631703
29,21,35.675713
26,24,35.725724
-53,3,35.732726
27,23,35.780737
17,33,35.848752
23,27,35.903764
-72,22,35.949778
-64,14,35.978784
23,27,36.034797
21,29,36.09481
-52,2,36.099811
35,15,36.131818
12,38,36.209836
-76,26,36.262848
-66,16,36.296856
19,31,36.36087
33,17,36.395878
-58,8,36.412882
23,27,36.468895
33,17,36.5039
35,15,36.534907
24,26,36.588919
15,35,36.660936
13,37,36.736952
8,42,36.822972
26,24,36.872983
-55,5,36.883985
8,42,36.971005
37,13,36.998011
33,17,37.034019
36,14,37.063025
-52,2,37.068027
35,15,37.099034
30,20,37.141044
-63,13,37.168049
8,42,37.254188
34,16,37.288196
7,43,37.376216
34,16,37.410223
30,20,37.451232
21,29,37.511246
-9,59,37.631771
24,26,37.685784
-55,5,37.696786
17,33,37.764801
22,28,37.822814
23,27,37.878827
9,41,37.962846
-52,2,37.967847
-77,27,38.02386
7,43,38.111879
32,18,38.148888
32,18,38.185897
-66,16,38.219904
25,25,38.271915
25,25,38.322927
39,11,38.346932
-62,12,38.371938
25,25,38.423949
-58,8,39.159618
31,19,39.199627
28,22,39.246769
28,22,39.292781
15,35,39.366797
32,18,39.404806
38,12,39.429811
30,20,39.47182
-82,32,39.538835
34,16,39.572843
34,16,39.606851
31,19,39.64786
-52,2,39.652861
35,15,39.684868
34,16,39.718876
32,18,39.756008
37,13,39.784014
-55,5,39.796016
36,14,39.825023
-79,29,39.887037
35,15,39.919044
34,16,39.953052
26,24,40.003063
-79,29,40.064077
30,20,40.106086
-57,7,40.12209
37,13,40.149096
33,17,40.186104
30,20,40.228114
31,19,40.268123
22,28,40.327136
34,16,40.361144
29,21,40.406154
16,34,40.47717
25,25,40.529181
35,15,40.561189
17,33,40.630204
31,19,40.670213
33,17,40.707222
-56,6,40.720225
29,21,40.764234
34,16,40.798242
28,22,40.845253
27,23,40.894264
28,22,40.940274
34,16,40.974285
27,23,41.022295
25,25,41.075307
23,27,41.13232
24,26,41.187332
35,15,41.218339
33,17,41.254347
22,28,41.313361
21,29,41.374375
29,21,41.418384
