#{"t_start": 1654688653.8958364, "env_id": "env.spec.id"}
r,l,t
-66,16,0.032008
-66,16,0.057012
-61,11,0.075016
-52,2,0.080017
-53,3,0.086019
-75,25,0.133029
-62,12,0.155035
-71,21,0.194043
-109,59,0.284064
-111,61,0.377088
-85,35,0.430099
-62,12,0.449103
-60,10,0.464107
-67,17,0.490113
-80,30,0.535123
-70,20,0.56513
-62,12,0.584134
-70,20,0.614141
-80,30,0.659151
-78,28,0.70116
-62,12,0.720166
-52,2,0.723167
-52,2,0.727168
-69,19,0.755174
-96,46,0.82419
-102,52,0.901207
-60,10,0.917211
-56,6,0.926213
-60,10,0.942216
-66,16,0.966222
38,12,0.984226
-85,35,1.037238
-54,4,1.043239
-90,40,1.103253
-53,3,1.109254
-59,9,1.123257
-63,13,1.143262
-64,14,1.165267
-54,4,1.171268
-62,12,1.189272
-90,40,1.251286
-70,20,1.282293
-69,19,1.310302
-67,17,1.337309
-61,11,1.354312
-52,2,1.357313
-61,11,1.374317
-123,73,1.483341
-54,4,1.490343
-13,63,1.584366
-60,10,1.60037
-62,12,1.618374
-52,2,1.621375
-66,16,1.646383
-36,86,1.774411
-64,14,1.794416
-96,46,1.863431
-54,4,1.870433
-83,33,1.920444
-60,10,1.935448
-62,12,1.954452
-66,16,1.979458
-105,55,2.061476
-60,10,2.076479
-78,28,2.119489
-110,60,2.209509
-57,7,2.220512
-58,8,2.233515
-87,37,2.288527
-70,20,2.319534
-79,29,2.362544
-60,10,2.378547
-56,6,2.38755
-59,9,2.401553
-70,20,2.43256
26,24,2.468568
-66,16,2.493573
-54,4,2.499575
-53,3,2.504576
-101,51,2.581594
-64,14,2.602598
-58,8,2.614601
-66,16,2.638606
-52,2,2.642607
-73,23,2.677615
-74,24,2.713623
-77,27,2.754632
-60,10,2.769636
-63,13,2.79064
-56,6,2.799642
-57,7,2.810645
-64,14,2.83265
-80,30,2.87766
-77,27,2.918669
-63,13,2.938673
-85,35,2.991685
-59,9,3.005689
-60,10,3.021692
-80,30,3.065702
24,26,3.104711
-72,22,3.138719
-70,20,3.870885
-44,94,4.010917
-119,69,4.115589
-75,25,4.153597
4,46,4.222613
-74,24,4.258621
-55,5,4.266623
-54,4,4.272624
-78,28,4.315634
-99,49,4.388271
-113,63,4.483293
-58,8,4.495295
-65,15,4.5183
-63,13,4.538305
-68,18,4.565311
-76,26,4.60532
-116,66,4.704342
-82,32,4.752353
-59,9,4.766356
-61,11,4.78336
-74,24,4.819371
-124,74,4.931395
-100,100,5.080429
-59,9,5.094432
-92,42,5.158447
-102,52,5.236464
-66,16,5.26047
26,24,5.297478
-52,2,5.300478
-84,34,5.35149
-61,11,5.368494
-65,15,5.391992
-84,34,5.443004
-86,36,5.496015
-73,23,5.531023
-4,54,5.612042
-77,27,5.653051
-95,45,5.720066
-56,6,5.731068
-53,3,5.735069
-52,2,5.73907
-60,10,5.754074
-50,100,5.902107
-62,12,5.921111
-79,29,5.964121
-100,50,6.039138
-106,56,6.123157
-68,18,6.150163
-72,22,6.18317
-78,28,6.22518
-56,6,6.235183
-86,36,6.289194
-88,38,6.346207
-94,44,6.412222
-52,2,6.416223
-58,8,6.428226
-129,79,6.545252
-140,90,6.677778
-55,5,6.685779
-104,54,6.766797
41,9,6.780801
29,21,6.812808
-62,12,6.831812
-100,50,6.907829
-64,14,6.928834
-72,22,7.67014
-63,13,7.690144
-11,61,7.784165
-52,2,7.787166
-55,5,7.795167
-61,11,7.812171
-61,11,7.830175
-73,23,7.865183
-5,55,7.949203
-53,3,7.954203
-68,18,7.98221
6,44,8.049225
-69,19,8.078232
-57,7,8.089234
-57,7,8.100236
-79,29,8.144246
-92,42,8.209262
-80,30,8.255271
-71,21,8.287278
-63,13,8.308283
-86,36,8.363428
-85,35,8.41644
-65,15,8.440445
-55,5,8.448447
-79,29,8.493457
-52,2,8.496458
-81,31,8.544468
-75,25,8.583477
-63,13,8.603482
-53,3,8.609483
-20,70,8.715507
-60,10,8.731511
-54,4,8.737512
30,20,8.768519
36,14,8.790524
-6,56,8.875543
-82,32,8.924554
-93,43,8.990569
-122,72,9.101594
30,20,9.132601
-73,23,9.167609
-60,10,9.183612
-58,8,9.196615
-54,4,9.202617
-72,22,9.237625
-60,10,9.252628
-69,19,9.281635
