#{"t_start": 1655768495.1323195, "env_id": "env.spec.id"}
r,l,t
-69,19,0.04601
-136,86,0.230051
-60,10,0.251056
-76,26,0.304068
-73,23,0.351079
-115,65,0.482107
-69,19,0.521116
-62,12,0.546122
-93,43,0.633141
-65,15,0.663149
-57,7,0.678151
-73,23,0.725162
-75,25,0.777174
-72,22,0.821184
-64,14,0.850189
-53,3,0.857191
-60,10,0.877196
-78,28,0.934209
-59,9,0.953213
-62,12,0.978219
-53,3,0.98422
-68,18,1.022229
-58,8,1.039232
-58,8,1.057236
-59,9,1.07624
-77,27,1.133354
-70,20,1.173382
-59,9,1.192386
-67,17,1.227394
-54,4,1.236396
-64,14,1.264402
-67,17,1.29841
-76,26,1.351422
-65,15,1.383429
-67,17,1.418438
-70,20,1.459446
-56,6,1.472449
-60,10,1.492453
-52,2,1.497455
-75,25,1.548466
-61,11,1.571471
-102,52,1.675494
29,21,1.718504
-65,15,1.748511
-98,48,1.842532
-78,28,1.898545
-54,4,1.907546
-66,16,1.939553
-60,10,1.959558
-56,6,1.972561
-89,39,2.050578
-76,26,2.10359
-82,32,2.167604
-60,10,2.188609
-90,40,2.268627
-59,9,2.287632
-59,9,2.305636
-61,11,2.328641
-54,4,2.337642
-60,10,2.357647
-61,11,2.380652
-82,32,2.444666
-82,32,2.508198
-56,6,2.520201
-95,45,2.610222
-60,10,2.630226
-80,30,2.691239
-63,13,2.718246
-61,11,2.74025
-65,15,2.770257
-70,20,2.811266
-89,39,2.889284
-54,4,2.898286
-108,58,3.013312
-105,55,3.133341
-59,9,3.158346
-55,5,3.166348
-59,9,3.182352
-57,7,3.195354
-60,10,3.213359
-65,15,3.241365
-52,2,3.246366
-66,16,3.273372
-66,16,3.302378
-63,13,3.325384
-66,16,3.353796
-53,3,3.358797
-91,41,3.432814
-62,12,3.454819
-67,17,3.484826
-77,27,3.531836
-57,7,3.543839
-57,7,3.556842
-82,32,3.611854
-74,24,3.653863
-55,5,3.662866
-62,12,3.68487
-55,5,3.693872
-76,26,3.738882
-77,27,3.785893
-56,6,3.796896
-62,12,3.8189
-63,13,3.840905
-56,6,3.852908
-55,5,3.861913
-58,8,3.876917
-75,25,3.920927
-70,20,3.954935
-62,12,3.976939
-73,23,4.015948
-53,3,4.02195
-56,6,4.031951
-60,10,4.050956
-60,10,4.788121
-80,30,4.843133
-61,11,4.863137
-95,45,4.941155
-114,64,5.053311
-55,5,5.063313
-74,24,5.105323
-62,12,5.126328
-77,27,5.172338
-85,35,5.233517
-98,48,5.318536
-89,39,5.386551
-65,15,5.413557
-89,39,5.481572
-120,70,5.6036
-125,75,5.732629
-62,12,5.754634
-63,13,5.777642
-130,80,5.915673
-66,16,5.943679
-56,6,5.954681
-62,12,5.976687
-62,12,5.997691
-66,16,6.025697
-60,10,6.043702
-98,48,6.129722
-70,20,6.16473
-103,53,6.257751
-71,21,6.29576
-55,5,6.304761
-74,24,6.346771
-62,12,6.367775
-77,27,6.414787
-74,24,6.456795
-95,45,6.534813
-70,20,6.569821
-63,13,6.593346
-53,3,6.599348
-100,50,6.686367
-69,19,6.720374
-94,44,6.796391
26,24,6.839401
-66,16,6.867407
-55,5,6.876409
-69,19,6.910417
-73,23,6.950426
-108,58,7.051449
-66,16,7.078454
-73,23,7.119464
-55,5,7.128465
-83,33,7.184478
-56,6,7.196481
-100,50,7.2825
-79,29,7.333511
-53,3,7.339513
-59,9,7.355517
-105,55,7.452538
-67,17,7.481545
-77,27,7.526555
-66,16,7.555561
-53,3,7.562563
-74,24,7.604572
-67,17,7.634579
-81,31,7.688591
-81,31,7.742603
-54,4,7.749605
-57,7,7.762608
-64,14,7.787613
-62,12,7.808618
-101,51,7.897638
-79,29,7.949775
-68,18,7.981781
-61,11,8.001786
-52,2,8.006787
-52,2,8.010788
-90,40,8.080803
-110,60,8.186827
-84,34,8.247841
-114,64,8.361866
-89,39,9.148042
-100,100,9.323203
-116,66,9.438229
-97,47,9.520248
-82,32,9.57526
-122,72,9.699287
-71,21,9.737296
-53,3,9.743298
-102,52,9.834318
0,50,9.922337
-100,100,10.09751
-96,46,10.178529
-49,99,10.349567
-72,22,10.387575
-59,9,10.403579
-58,8,10.418582
-82,32,10.476595
8,42,10.552612
-100,50,10.640632
-147,97,10.811192
-74,24,10.853201
-99,49,10.940221
-69,19,10.974229
-74,24,11.017237
-100,50,11.104257
-132,82,11.24929
-100,100,11.422329
7,43,11.496345
-67,17,11.526352
-76,26,11.572362
11,39,11.640378
-100,100,11.817418
-100,100,11.992457
-62,12,12.013461
30,20,12.049603
17,33,12.108616
-64,14,12.134622
10,40,12.205638
-124,74,12.334666
-2,52,12.427687
-132,82,12.574721
-101,51,12.66574
-96,46,13.467057
-100,100,13.645097
-113,63,13.756121
-128,78,13.894155
-81,31,13.949167
