#{"t_start": 1661381297.3796966, "env_id": "env.spec.id"}
r,l,t
-120,70,0.029006
-61,11,0.034008
-61,11,0.038009
-64,14,0.04401
-61,11,0.048011
-52,2,0.050011
-72,22,0.058013
-85,35,0.07102
-86,36,0.085023
-57,7,0.088025
-95,45,0.104028
-55,5,0.107028
-56,6,0.109029
36,14,0.11503
-78,28,0.125032
-53,3,0.127033
-55,5,0.129033
-52,2,0.130034
-72,22,0.139035
-63,13,0.144037
-58,8,0.147038
-53,3,0.149038
-67,17,0.155039
-65,15,0.161041
-54,4,0.163041
-63,13,0.168043
-55,5,0.171043
-71,21,0.179045
-60,10,0.183046
-53,3,0.184046
-80,30,0.196049
-76,26,0.205051
-68,18,0.212053
-57,7,0.215053
-75,25,0.225055
-77,27,0.235058
-72,22,0.24406
-57,7,0.24706
-58,8,0.250061
-64,14,0.255062
-59,9,0.259063
-74,24,0.269065
-79,29,0.279068
-84,34,0.29207
-59,9,0.296072
-68,18,0.303073
-70,20,0.311075
-58,8,0.314076
-58,8,0.317076
-70,20,0.325078
-77,27,0.33508
-93,43,0.351084
-70,20,0.359085
-60,10,0.363086
-71,21,0.371089
-107,57,0.392093
-54,4,0.394094
-66,16,0.401095
-86,36,0.414232
-112,62,0.437237
-56,6,0.440238
-78,28,0.45024
-91,41,0.466244
-76,26,0.476246
-102,52,0.495253
-91,41,0.510257
-53,3,0.512257
-60,10,0.516258
-71,21,0.52426
-64,14,0.530261
-108,58,0.551266
-63,13,0.556268
-69,19,0.564269
-55,5,0.56627
-78,28,0.576272
-56,6,0.579273
-55,5,0.581273
-78,28,0.592275
-55,5,0.594276
-53,3,0.595276
-53,3,0.597277
-77,27,0.607279
-78,28,0.618282
-66,16,0.624283
-83,33,0.637286
-57,7,0.640286
-57,7,0.643287
-57,7,0.645287
-102,52,0.665292
-61,11,0.669293
-58,8,0.673294
-91,41,0.688298
-56,6,0.691298
-52,2,0.692298
-56,6,0.695299
-57,7,0.6983
-52,2,0.6993
-86,36,0.712303
-59,9,0.716304
-53,3,0.718305
-53,3,0.719304
-71,21,0.727306
-94,44,0.74431
-52,2,0.74531
-54,4,0.747311
-70,20,0.754312
-67,17,0.761314
-54,4,0.763314
-87,37,0.777318
-77,27,0.78732
-66,16,0.793321
-52,2,0.794321
-67,17,0.80169
-57,7,0.804324
-79,29,0.815326
-99,49,0.83333
-79,29,0.844333
-89,39,0.859336
-61,11,0.863337
-63,13,0.869339
-88,38,0.883341
-75,25,0.892344
-55,5,0.895344
-52,2,0.896345
-54,4,0.898345
-123,73,0.925351
-122,72,0.951357
-57,7,0.954358
-54,4,0.956359
-54,4,0.958359
-57,7,0.961359
-97,47,0.979364
-67,17,0.985365
-66,16,0.992366
-58,8,0.995367
-83,33,1.008371
-52,2,1.00937
-72,22,1.017372
-54,4,1.019372
-60,10,1.023373
-53,3,1.025374
-99,49,1.043378
-58,8,1.047379
-74,24,1.056381
-60,10,1.060382
-65,15,1.066384
-54,4,1.068384
-76,26,1.077386
-77,27,1.088388
-57,7,1.091389
-87,37,1.106393
-78,28,1.117395
-76,26,1.127397
-85,35,1.1414
-53,3,1.1434
-56,6,1.146402
-56,6,1.149402
-74,24,1.158404
-61,11,1.163405
-54,4,1.165406
-54,4,1.167406
-78,28,1.178409
-74,24,1.188412
-52,2,1.189411
-66,16,1.196413
-63,13,1.202414
-56,6,1.204415
-67,17,1.212416
-52,2,1.213417
-54,4,1.215417
-61,11,1.220418
-70,20,1.22842
-78,28,1.239423
-64,14,1.245424
-86,36,1.258427
-57,7,1.261427
-58,8,1.265428
-85,35,1.278432
-75,25,1.287433
-92,42,1.303437
-53,3,1.305437
-72,22,1.313439
-53,3,1.31544
-52,2,1.31644
-58,8,1.319441
-61,11,1.323442
-56,6,1.326443
-76,26,1.336445
-118,68,1.361451
-79,29,1.372452
-59,9,1.376454
-72,22,1.384455
-135,85,1.416463
-64,14,1.421463
-75,25,1.431466
-52,2,1.432466
-77,27,1.442469
-76,26,1.452471
-118,68,1.477476
-79,29,1.488479
-53,3,1.490479
-52,2,1.49148
-54,4,1.49348
-53,3,1.49448
-75,25,1.504483
-52,2,1.505483
-52,2,1.506484
-60,10,1.510484
-57,7,1.513485
-65,15,1.519486
-73,23,1.528488
-55,5,1.530488
-63,13,1.535489
-60,10,1.53949
-61,11,1.543492
-54,4,1.545492
-56,6,1.548493
-56,6,1.551494
-63,13,1.556495
-64,14,1.561496
-81,31,1.573498
-54,4,1.575499
-80,30,1.586502
-52,2,1.587501
-90,40,1.602505
-65,15,1.608507
-55,5,1.610507
-62,12,1.615508
-91,41,1.631511
-57,7,1.633512
-54,4,1.635513
-54,4,1.637513
-58,8,1.641514
-73,23,1.649516
-75,25,1.659518
-70,20,1.66752
-56,6,1.66952
-113,63,1.693659
-57,7,1.696661
-88,38,1.710663
-72,22,1.719665
-59,9,1.723666
-60,10,1.727667
-65,15,1.733668
-57,7,1.73667
-68,18,1.743671
-62,12,1.748672
-87,37,1.762675
-53,3,1.763675
-54,4,1.765676
-63,13,1.770677
-63,13,1.775678
-102,52,1.795682
-67,17,1.802684
-67,17,1.808686
-60,10,1.812686
-76,26,1.822689
-56,6,1.825689
-58,8,1.828691
-72,22,1.836693
-59,9,1.840693
-68,18,1.847694
-52,2,1.848695
-63,13,1.853696
-78,28,1.864698
-52,2,1.865698
-67,17,1.8727
-98,48,1.890704
-54,4,1.892705
-80,30,1.90384
-63,13,1.908838
-79,29,1.91984
-95,45,1.936845
-56,6,1.939844
-78,28,1.96385
-58,8,1.966851
-55,5,1.968852
-54,4,1.970852
-75,25,1.979854
-75,25,1.988856
-107,57,2.009861
-58,8,2.013861
-56,6,2.015862
-81,31,2.027865
-52,2,2.028865
-67,17,2.034866
-56,6,2.037867
-58,8,2.040868
-55,5,2.043868
-54,4,2.044868
-99,49,2.063873
-61,11,2.067874
-65,15,2.073875
-56,6,2.075876
-92,42,2.090879
-62,12,2.09588
29,21,2.102882
-60,10,2.106883
-76,26,2.115885
-56,6,2.118886
-68,18,2.125887
-60,10,2.130394
-58,8,2.133395
-70,20,2.141397
-56,6,2.143397
-54,4,2.145398
-66,16,2.152399
-82,32,2.164402
-71,21,2.172404
-82,32,2.184407
-78,28,2.195409
-89,39,2.209413
-55,5,2.212413
-58,8,2.215414
-55,5,2.217415
-81,31,2.229417
-83,33,2.24142
-76,26,2.251422
-60,10,2.255423
-72,22,2.264425
-60,10,2.268425
-75,25,2.277428
-81,31,2.289431
-57,7,2.292431
-94,44,2.308435
-68,18,2.315437
-67,17,2.322438
-72,22,2.33044
-61,11,2.335441
-82,32,2.355445
-60,10,2.359447
-57,7,2.362447
-117,67,2.387453
-56,6,2.390453
-68,18,2.397456
-87,37,2.410462
-64,14,2.416464
-71,21,2.424465
-57,7,2.427466
-63,13,2.432467
-57,7,2.435468
-84,34,2.448471
-61,11,2.453472
-52,2,2.454472
-62,12,2.458472
-63,13,2.464474
-52,2,2.465474
-55,5,2.467475
-52,2,2.468475
-53,3,2.470475
-53,3,2.471476
-75,25,2.481478
-79,29,2.492481
-70,20,2.499483
-65,15,2.505483
-60,10,2.509485
-69,19,2.517487
-52,2,2.518486
-54,4,2.520487
-64,14,2.525488
-67,17,2.53249
-76,26,2.542492
-89,39,2.556495
-56,6,2.559496
-54,4,2.561496
-71,21,2.569498
-96,46,2.586502
-70,20,2.594504
-74,24,2.603506
-65,15,2.609508
-105,55,2.629512
-59,9,2.633512
-53,3,2.635513
-54,4,2.637514
-57,7,2.639514
-63,13,2.645515
-52,2,2.646515
-81,31,2.657518
-69,19,2.66552
-62,12,2.670521
-67,17,2.676522
-79,29,2.687525
-61,11,2.692526
-66,16,2.698527
-57,7,2.701528
-55,5,2.703529
-65,15,2.70953
-69,19,2.716532
-54,4,2.718532
-85,35,2.731538
-80,30,2.743541
-54,4,2.745541
-61,11,2.749543
-62,12,2.754543
-62,12,2.759545
-66,16,2.765546
-86,36,2.778553
-90,40,2.794556
-59,9,2.797557
-61,11,2.802558
-77,27,2.81256
-55,5,2.814561
-76,26,2.824567
-61,11,2.828568
-56,6,2.831568
-71,21,2.839571
-53,3,2.84157
-68,18,2.848572
-90,40,2.863583
-74,24,2.872582
-63,13,2.877584
-58,8,2.881584
-55,5,2.883584
-69,19,2.890585
-64,14,2.896587
-65,15,2.902589
-123,73,2.929595
-52,2,2.930595
-79,29,2.941597
-73,23,2.950599
-65,15,2.955601
-64,14,2.961602
-59,9,2.965603
-61,11,2.969604
-80,30,2.980606
-66,16,2.987608
-53,3,2.988608
-58,8,2.992609
-70,20,2.999611
-72,22,3.008612
-94,44,3.024616
-71,21,3.032618
-93,43,3.048622
-76,26,3.059624
-74,24,3.068626
-71,21,3.07678
-70,20,3.083782
-60,10,3.087784
-57,7,3.090784
-92,42,3.106787
-61,11,3.110788
-56,6,3.113789
-57,7,3.11679
-65,15,3.122791
-53,3,3.123791
-57,7,3.126792
-56,6,3.129793
-70,20,3.137794
-52,2,3.138794
-56,6,3.141795
-64,14,3.146796
-72,22,3.154798
-53,3,3.156799
-67,17,3.1638
-79,29,3.173802
-72,22,3.182805
-52,2,3.183805
-77,27,3.193807
-59,9,3.197809
-67,17,3.204809
36,14,3.209811
-83,33,3.222813
-66,16,3.228815
-126,76,3.256821
-59,9,3.260822
-82,32,3.272825
-66,16,3.278826
27,23,3.287829
-74,24,3.29683
-59,9,3.300831
-63,13,3.305833
-62,12,3.310834
-65,15,3.316835
-61,11,3.320836
-90,40,3.335839
-59,9,3.339841
-75,25,3.348842
-61,11,3.353843
-53,3,3.354843
-70,20,3.362845
-52,2,3.363846
-69,19,3.371847
-137,87,3.403854
-75,25,3.412857
-63,13,3.417858
-59,9,3.421859
-87,37,3.435862
-55,5,3.437863
-98,48,3.455867
-54,4,3.457867
-52,2,3.458868
-71,21,3.466869
-73,23,3.475871
-82,32,3.487874
-54,4,3.489875
-71,21,3.497876
-56,6,3.500877
-60,10,3.504878
-108,58,3.525882
-83,33,3.538885
-54,4,3.540886
-57,7,3.543886
-64,14,3.548888
-73,23,3.55789
-61,11,3.561891
-84,34,3.574912
-66,16,3.581914
-60,10,3.585915
-69,19,3.592916
-85,35,3.605919
-54,4,3.60792
-65,15,3.613921
-61,11,3.617922
-67,17,3.624923
-70,20,3.632926
-62,12,3.636926
-57,7,3.639927
4,46,3.657932
-55,5,3.659932
-61,11,3.663932
-53,3,3.665933
-58,8,3.668933
-63,13,3.673934
-60,10,3.678935
-58,8,3.681935
-60,10,3.685936
-72,22,3.694938
-57,7,3.697939
-74,24,3.706941
-60,10,3.710942
-54,4,3.712942
-58,8,3.715943
-56,6,3.718944
-56,6,3.720944
-77,27,3.731946
-56,6,3.733947
-57,7,3.736948
-58,8,3.739949
-89,39,3.754952
-54,4,3.756953
-66,16,3.762954
-73,23,3.771955
-62,12,3.777076
-59,9,3.781076
-68,18,3.788078
-59,9,3.792079
-66,16,3.79808
-70,20,3.806082
-54,4,3.807082
-68,18,3.814084
-95,45,3.831088
-69,19,3.839089
-102,52,3.858094
-1,51,3.877098
-78,28,3.888101
-52,2,3.889101
-84,34,3.902104
-130,80,3.93111
-52,2,3.93211
-68,18,3.939112
-59,9,3.943113
-62,12,3.948114
-73,23,3.957117
-68,18,3.964118
-61,11,3.968119
-64,14,3.97412
-73,23,3.983122
-65,15,3.989124
-65,15,3.994125
-95,45,4.011129
-82,32,4.023131
-116,66,4.048137
-54,4,4.050138
-81,31,4.078144
-70,20,4.086146
-81,31,4.098149
-54,4,4.100149
-64,14,4.10515
-63,13,4.111151
-58,8,4.114152
-57,7,4.117153
-127,77,4.145159
-71,21,4.153161
-53,3,4.154161
-67,17,4.161163
-54,4,4.162163
-94,44,4.179167
-66,16,4.185168
-68,18,4.19317
-67,17,4.201172
-52,2,4.202172
-53,3,4.203172
-77,27,4.214175
-59,9,4.217175
-61,11,4.222177
-52,2,4.223177
30,20,4.230179
-60,10,4.234179
-62,12,4.247182
-71,21,4.273188
-63,13,4.286192
-53,3,4.291192
-56,6,4.296193
-87,37,4.337203
-64,14,4.354208
-77,27,4.386218
-81,31,4.421366
-59,9,4.43437
-90,40,4.47938
-54,4,4.485381
-52,2,4.487381
-56,6,4.496384
-5,55,4.559398
-62,12,4.574402
-53,3,4.578403
-53,3,4.582403
-65,15,4.601408
-63,13,4.614411
-80,30,4.646418
-67,17,4.665422
-63,13,4.678425
-56,6,4.683426
-74,24,4.711435
-54,4,4.717436
-84,34,4.75745
-61,11,4.773265
-85,35,4.813274
-74,24,4.846281
-53,3,4.850282
-92,42,4.906296
-58,8,4.916297
-56,6,4.921299
-64,14,4.938303
-59,9,4.948304
-57,7,4.957307
-59,9,4.965308
-58,8,4.975311
-87,37,5.01532
-56,6,5.025324
-53,3,5.026325
